Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Metric
1,1,3/27/2025,,CHC,L,6,10,9,40,33,6,9,3,0,1,6,0,0,3,4,0.273,0.35,0.455,0.805,15,1,2,0,2,0,0,0.267,7,10,Justin Steele,L,44,19
2,2,3/28/2025,,CHC,W,8,1,9,39,37,8,14,6,0,2,8,1,0,0,7,0.329,0.372,0.586,0.958,26,0,1,1,0,0,0,0.429,7,9,Jameson Taillon,R,22,28
3,3,3/29/2025,,CHC,L,3,4,9,38,35,3,9,2,0,1,3,0,0,3,7,0.305,0.353,0.524,0.877,14,0,0,0,0,1,0,0.296,8,11,Shota Imanaga,L,69,17
4,4,3/30/2025,,CHC,W,10,6,9,46,35,10,14,4,0,1,10,2,0,9,6,0.329,0.398,0.543,0.94,21,0,0,1,1,0,1,0.448,12,18,Matthew Boyd,L,61,33
5,5,4/1/2025,@,NYY,W,7,5,9,38,31,7,5,1,0,2,7,1,0,7,11,0.298,0.382,0.515,0.897,12,1,0,0,0,0,0,0.167,4,11,Will Warren,R,57,19
6,6,4/2/2025,@,NYY,W,4,3,9,35,27,4,3,0,0,1,4,0,1,7,6,0.273,0.368,0.475,0.842,6,1,0,0,1,0,0,0.095,4,9,Carlos Rodón,L,51,11
7,7,4/3/2025,@,NYY,L,7,9,9,39,34,7,8,3,0,1,7,1,0,5,9,0.267,0.363,0.466,0.828,14,1,0,0,0,0,0,0.292,5,11,Carlos Carrasco,R,49,19
8,8,4/4/2025,@,WSN,W,6,4,9,39,37,6,11,3,0,2,6,2,0,2,6,0.271,0.359,0.476,0.835,20,0,0,0,0,0,0,0.31,6,11,Jake Irvin,R,39,24
9,9,4/5/2025,@,WSN,L,3,4,9,36,30,3,5,0,0,0,3,0,1,6,2,0.261,0.353,0.445,0.798,5,2,0,0,0,1,0,0.179,6,11,Mitchell Parker,L,62,8
10,10,4/6/2025,@,WSN,L,4,5,9,39,34,4,9,1,2,1,4,1,0,3,11,0.261,0.35,0.45,0.8,17,0,0,1,1,0,0,0.348,8,13,Trevor Williams,R,49,21
11,11,4/7/2025,,BAL,L,1,5,9,33,31,1,5,2,0,0,1,0,0,0,3,0.253,0.337,0.431,0.768,7,0,1,0,1,0,0,0.172,5,10,Zach Eflin,R,61,8
12,12,4/8/2025,,BAL,W,4,3,9,34,26,4,5,2,0,1,3,0,0,7,5,0.249,0.34,0.428,0.768,10,2,1,0,0,1,0,0.2,6,10,Charlie Morton,R,42,16
13,13,4/9/2025,,BAL,W,9,0,9,41,36,9,14,3,0,4,9,0,0,3,8,0.261,0.348,0.46,0.808,29,1,1,0,1,0,0,0.4,8,9,Dean Kremer,R,27,32
14,14,4/11/2025,,MIL,L,0,7,9,30,29,0,4,0,0,0,0,0,0,1,5,0.253,0.338,0.44,0.777,4,2,0,0,0,1,0,0.167,3,11,Jose Quintana,L,71,3
15,15,4/12/2025,,MIL,W,5,4,9,41,32,5,10,3,1,0,5,0,1,8,7,0.257,0.345,0.441,0.787,15,2,0,0,1,0,1,0.385,10,11,Chad Patrick,R,54,21
