Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Metric
1,1,3/27/2025,@,TOR,W,12,2,9,45,39,12,14,1,0,6,12,0,1,5,8,0.359,0.444,0.846,1.291,33,0,1,0,0,0,0,0.32,6,11,José Berríos,R,28,38
2,2,3/28/2025,@,TOR,L,2,8,9,34,29,2,3,0,0,1,2,0,0,4,9,0.25,0.342,0.574,0.915,6,0,0,0,1,0,0,0.1,5,9,Kevin Gausman,R,61,10
3,3,3/29/2025,@,TOR,W,9,5,9,41,36,9,12,3,0,3,9,1,0,1,9,0.279,0.35,0.606,0.956,24,0,2,0,2,0,0,0.346,5,11,Max Scherzer,R,46,28
4,4,3/30/2025,@,TOR,L,1,3,9,37,35,1,9,1,0,0,0,1,0,2,11,0.273,0.338,0.525,0.863,10,1,0,0,0,0,0,0.375,9,12,Chris Bassitt,R,57,12
5,5,3/31/2025,,BOS,W,8,5,9,38,35,8,15,2,0,0,8,1,1,3,7,0.305,0.364,0.517,0.881,17,3,0,0,0,0,0,0.536,6,11,Sean Newcomb,L,32,17
6,6,4/2/2025,,BOS,L,0,3,9,31,29,0,4,0,0,0,0,0,0,2,9,0.281,0.341,0.463,0.804,4,1,0,0,0,0,0,0.2,4,9,Garrett Crochet,L,81,5
7,7,4/3/2025,,BOS,L,4,8,9,37,32,4,8,3,0,1,4,1,0,3,11,0.277,0.338,0.46,0.798,14,2,1,0,1,0,0,0.333,6,10,Tanner Houck,R,44,17
8,8,4/4/2025,@,KCR,L,2,8,9,33,31,2,6,2,0,0,1,0,0,2,5,0.267,0.328,0.436,0.764,8,2,0,0,0,1,0,0.231,4,9,Seth Lugo,R,57,8
9,9,4/5/2025,@,KCR,W,8,1,9,42,37,8,12,1,2,0,8,0,0,5,7,0.274,0.337,0.439,0.776,17,1,0,0,0,0,0,0.4,7,10,Michael Wacha,R,45,21
10,10,4/6/2025,@,KCR,L,1,4,9,32,31,1,4,0,0,0,0,0,0,1,12,0.26,0.322,0.41,0.732,4,1,0,0,0,1,0,0.211,4,10,Kris Bubic,L,71,4
11,11,4/7/2025,@,ARI,W,5,1,9,38,33,5,7,2,0,1,5,2,0,5,6,0.256,0.321,0.406,0.727,12,1,0,0,0,0,0,0.231,6,10,Zac Gallen,R,28,18
12,12,4/8/2025,@,ARI,L,3,4,9,34,29,3,4,1,0,0,2,2,0,2,6,0.247,0.317,0.389,0.706,5,2,3,0,0,1,0,0.174,4,11,Merrill Kelly,R,58,10
13,13,4/9/2025,@,ARI,L,0,9,9,30,28,0,4,0,0,0,0,0,0,2,3,0.241,0.309,0.373,0.682,4,2,0,0,0,0,0,0.16,3,9,Brandon Pfaadt,R,65,4
14,14,4/12/2025,,TOR,W,5,4,9,31,28,5,4,1,0,2,5,0,1,2,6,0.235,0.304,0.374,0.678,11,0,1,0,0,1,0,0.1,2,12,Bowden Francis,R,50,13
15,15,4/13/2025,,TOR,L,6,7,10,43,41,6,9,2,1,2,3,1,0,2,13,0.233,0.3,0.381,0.682,19,0,0,0,0,2,0,0.269,8,12,José Berríos,R,42,22
16,16,4/15/2025,,CLE,L,3,6,9,38,36,3,8,3,0,1,3,1,0,2,12,0.233,0.298,0.382,0.68,14,0,0,0,0,1,0,0.304,8,11,Logan Allen,L,69,17
17,17,4/16/2025,,CLE,W,9,1,9,35,29,9,7,1,0,3,9,0,0,5,5,0.233,0.3,0.392,0.693,17,1,0,0,1,0,0,0.182,2,9,Gavin Williams,R,46,21
18,18,4/17/2025,,CLE,W,6,2,9,32,28,6,7,1,0,3,6,0,1,4,7,0.234,0.303,0.403,0.705,17,0,0,0,0,0,0,0.222,2,10,Tanner Bibee,R,36,20
19,19,4/18/2025,,CIN,L,3,8,9,32,31,3,4,0,0,2,3,0,0,1,15,0.229,0.296,0.399,0.694,10,0,0,0,0,0,0,0.143,2,9,Andrew Abbott,L,74,11
20,20,4/19/2025,,CIN,W,9,5,9,43,34,9,11,2,0,5,9,0,0,7,7,0.233,0.306,0.421,0.727,28,1,2,0,0,0,0,0.273,10,10,Hunter Greene,R,29,36
21,21,4/20/2025,,CIN,L,2,24,9,37,35,2,7,3,0,1,1,0,0,2,8,0.232,0.303,0.418,0.721,13,0,0,0,0,1,0,0.231,8,9,Brent Suter,L,52,15
