,,,,,Score,,,,Batting Stats,,,,,,,,,,,,,,,,,,,,,,,,,,Opp Starter,,
Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc
1,1,3/27/2025,,LAA,W,8,1,9,35,33,8,9,2,0,3,8,0,0,2,6,0.273,0.314,0.606,0.92,20,0,0,0,0,0,0,0.25,3,11,Yusei Kikuchi,L,55
2,2,3/29/2025,,LAA,L,0,1,9,31,27,0,2,0,0,0,0,0,0,4,7,0.183,0.258,0.367,0.624,2,1,0,0,0,0,0,0.1,4,12,José Soriano,R,76
3,3,3/30/2025,,LAA,L,2,3,9,34,32,2,7,2,0,1,2,1,0,2,6,0.196,0.26,0.37,0.63,12,1,0,0,0,0,0,0.24,5,13,Jack Kochanowicz,R,60
4,4,3/31/2025,,MIN,W,9,0,9,38,32,9,8,0,0,3,9,2,0,5,5,0.21,0.283,0.411,0.694,17,0,0,0,1,1,0,0.2,5,13,Chris Paddack,R,10
5,5,4/1/2025,,MIN,L,3,8,9,36,34,3,9,1,0,1,3,0,1,1,13,0.222,0.282,0.405,0.687,13,0,0,0,1,0,0,0.381,6,12,Simeon Woods Richardson,R,48
6,6,4/2/2025,,MIN,L,1,6,9,35,34,1,6,0,0,1,1,0,0,1,7,0.214,0.268,0.38,0.648,9,0,0,0,0,0,0,0.192,7,12,Pablo López,R,69
7,7,4/4/2025,@,DET,L,4,7,9,38,34,4,7,4,0,0,4,0,0,4,11,0.212,0.271,0.372,0.643,11,1,0,0,0,0,0,0.304,7,11,Jack Flaherty,R,64
8,8,4/5/2025,@,DET,L,2,7,9,35,32,2,8,2,0,0,1,0,0,3,7,0.217,0.277,0.364,0.641,10,2,0,0,0,0,0,0.32,6,9,Reese Olson,R,52
9,9,4/6/2025,@,DET,L,3,4,9,34,27,3,4,0,0,0,3,0,1,3,4,0.211,0.273,0.344,0.617,4,0,1,1,2,0,0,0.16,4,10,Jackson Jobe,R,50
10,10,4/8/2025,@,CLE,L,0,1,9,32,27,0,2,0,0,0,0,2,1,5,9,0.199,0.268,0.321,0.589,2,2,0,0,0,1,0,0.111,5,9,Ben Lively,R,64
11,11,4/9/2025,@,CLE,L,2,3,9,40,34,2,8,1,0,0,2,1,0,6,12,0.202,0.276,0.315,0.592,9,0,0,0,0,0,0,0.364,11,12,Logan Allen,L,56
12,12,4/10/2025,@,CLE,L,1,6,9,34,31,1,5,1,0,0,0,0,1,3,12,0.199,0.273,0.305,0.578,6,0,0,0,0,0,0,0.263,6,9,Gavin Williams,R,62
13,13,4/11/2025,,BOS,W,11,1,9,43,36,11,12,4,0,0,11,4,0,4,9,0.211,0.284,0.317,0.601,16,0,0,0,1,0,0,0.429,8,11,Sean Newcomb,L,38
14,14,4/12/2025,,BOS,W,3,2,9,32,29,3,4,0,0,1,3,1,0,3,9,0.206,0.279,0.312,0.592,7,0,0,0,0,0,0,0.158,4,10,Richard Fitts,R,67
15,15,4/13/2025,,BOS,L,1,3,9,32,31,1,4,0,0,0,1,1,0,1,14,0.201,0.272,0.3,0.572,4,0,0,0,0,0,0,0.235,4,13,Garrett Crochet,L,82
16,16,4/15/2025,,ATH,L,3,12,9,37,33,3,6,1,0,1,3,0,0,4,8,0.2,0.272,0.3,0.572,10,1,0,0,0,1,0,0.208,7,11,Jeffrey Springs,L,50
17,17,4/16/2025,,ATH,L,1,3,9,37,33,1,7,1,1,1,1,0,0,4,5,0.2,0.273,0.306,0.579,13,0,0,0,0,0,0,0.222,9,12,Osvaldo Bido,R,54
18,18,4/17/2025,,ATH,L,0,8,9,36,32,0,4,0,0,0,0,0,0,3,6,0.196,0.27,0.296,0.566,4,1,1,0,0,1,0,0.154,9,11,JP Sears,L,66
19,19,4/18/2025,@,BOS,L,3,10,9,36,35,3,6,2,0,1,3,0,0,1,6,0.195,0.266,0.297,0.563,11,0,0,0,0,2,0,0.179,6,11,Hunter Dobbins,R,66
20,20,4/19/2025,@,BOS,L,3,4,10,41,37,3,7,1,0,1,3,1,0,4,12,0.194,0.266,0.297,0.564,11,0,0,0,0,0,0,0.25,9,12,Garrett Crochet,L,69
21,21,4/20/2025,@,BOS,W,8,4,9,41,34,8,9,1,0,2,8,3,0,3,8,0.198,0.272,0.306,0.578,16,0,3,1,0,1,1,0.292,6,13,Tanner Houck,R,63
