Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Metric
1,1,3/27/2025,@,LAD,L,4,5,9,42,34,4,9,0,1,1,3,1,0,6,9,0.265,0.357,0.412,0.769,14,0,0,0,2,0,0,0.308,11,12,Blake Snell,L,47,21
2,2,3/28/2025,@,LAD,L,5,8,10,44,39,5,10,2,1,2,5,1,0,5,16,0.26,0.349,0.466,0.815,20,0,0,0,0,0,1,0.381,10,12,Yoshinobu Yamamoto,R,57,27
3,3,3/29/2025,@,LAD,L,3,7,9,36,32,3,6,0,1,0,3,0,0,4,13,0.238,0.328,0.4,0.728,8,1,0,0,0,0,0,0.316,6,10,Roki Sasaki,R,39,11
4,4,3/31/2025,@,SEA,W,9,6,9,46,42,9,18,4,0,1,9,0,1,4,5,0.293,0.369,0.456,0.825,25,2,0,0,0,0,0,0.472,10,9,Emerson Hancock,R,13,26
5,5,4/1/2025,@,SEA,W,4,1,9,36,35,4,8,2,0,1,4,2,0,1,13,0.28,0.348,0.44,0.788,13,0,0,0,0,0,0,0.333,5,10,Logan Gilbert,R,54,16
6,6,4/2/2025,@,SEA,L,2,3,9,37,33,2,6,1,0,1,2,0,0,4,8,0.265,0.336,0.419,0.755,10,0,0,0,0,0,0,0.208,8,12,Luis Castillo,R,62,14
7,7,4/4/2025,,CHW,W,7,4,9,41,34,7,10,2,1,3,7,0,0,5,9,0.269,0.348,0.454,0.801,23,0,2,0,0,0,0,0.318,10,10,Jonathan Cannon,R,43,30
8,8,4/5/2025,,CHW,W,7,2,9,38,32,7,10,3,0,2,7,0,0,4,8,0.274,0.353,0.47,0.823,19,1,1,0,1,0,0,0.348,7,9,Davis Martin,R,21,23
9,9,4/6/2025,,CHW,W,4,3,9,39,31,4,7,2,0,0,4,0,0,8,5,0.269,0.357,0.452,0.808,9,1,0,0,0,0,0,0.269,10,12,Martín Pérez,L,63,16
10,10,4/7/2025,,NYY,W,6,2,9,34,28,6,5,0,0,1,6,0,1,5,10,0.262,0.352,0.438,0.79,8,0,0,1,0,1,0,0.235,4,12,Carlos Rodón,L,47,12
11,11,4/8/2025,,NYY,W,5,0,9,33,31,5,9,1,0,4,5,0,0,1,9,0.264,0.348,0.461,0.809,22,1,0,0,1,0,0,0.263,4,9,Carlos Carrasco,R,37,22
12,12,4/9/2025,,NYY,L,3,4,9,37,35,3,8,1,1,0,2,0,0,2,14,0.261,0.342,0.448,0.79,11,0,0,0,0,0,0,0.381,7,11,Max Fried,L,78,13
13,13,4/11/2025,@,MIN,W,7,6,9,43,38,7,10,2,0,0,6,1,0,3,8,0.261,0.343,0.437,0.78,12,0,2,0,0,1,0,0.333,9,10,David Festa,R,59,18
14,14,4/12/2025,@,MIN,W,4,0,9,36,30,4,5,0,0,1,4,0,0,3,9,0.255,0.336,0.426,0.763,8,0,1,0,2,0,0,0.182,5,9,Chris Paddack,R,60,12
15,15,4/13/2025,@,MIN,L,1,5,9,34,32,1,5,1,0,1,1,0,0,1,12,0.249,0.329,0.417,0.746,9,0,1,0,0,0,0,0.211,6,10,Simeon Woods Richardson,R,58,11
16,16,4/14/2025,@,MIL,W,9,1,9,41,36,9,9,2,0,1,9,0,0,3,9,0.249,0.327,0.415,0.742,14,0,0,1,1,0,0,0.296,5,10,Tyler Alexander,L,25,17
17,17,4/15/2025,@,MIL,L,0,5,9,31,28,0,1,1,0,0,0,0,0,3,10,0.239,0.317,0.398,0.716,2,0,0,0,0,0,0,0.056,4,11,Quinn Priester,R,66,5
18,18,4/16/2025,@,MIL,L,1,5,9,37,32,1,7,0,0,1,1,0,0,4,9,0.238,0.317,0.394,0.71,10,2,0,1,0,1,0,0.273,9,13,Jose Quintana,L,58,12
19,19,4/17/2025,,KCR,W,6,1,9,41,36,6,12,2,0,0,6,2,0,5,6,0.243,0.322,0.393,0.716,14,0,0,0,0,0,0,0.4,11,10,Michael Lorenzen,R,34,21
20,20,4/18/2025,,KCR,W,7,3,9,38,35,7,12,2,0,1,6,0,0,3,11,0.248,0.326,0.398,0.724,17,1,0,0,0,0,0,0.478,7,11,Cole Ragans,L,35,19
21,21,4/19/2025,,KCR,W,3,1,9,32,28,3,5,1,0,1,3,0,0,3,5,0.245,0.323,0.395,0.718,9,0,0,1,0,0,0,0.182,5,10,Seth Lugo,R,55,12
22,22,4/20/2025,,KCR,L,3,4,10,42,40,3,10,0,0,0,3,0,0,2,8,0.246,0.321,0.387,0.709,10,1,0,0,0,1,1,0.313,10,11,Michael Wacha,R,51,12
23,23,4/21/2025,,SDP,W,6,4,9,41,32,6,11,1,1,0,6,0,0,7,5,0.25,0.329,0.389,0.719,14,2,2,0,0,0,1,0.407,11,10,Randy Vásquez,R,20,22
24,24,4/22/2025,,SDP,L,0,2,9,32,30,0,3,0,0,0,0,1,0,2,7,0.244,0.323,0.379,0.702,3,0,0,0,0,0,0,0.13,5,10,Nick Pivetta,R,77,6
25,25,4/23/2025,,SDP,W,6,0,9,36,34,6,10,1,0,3,6,1,0,1,10,0.246,0.323,0.387,0.711,20,0,1,0,0,0,0,0.333,6,9,Kyle Hart,L,50,23
26,26,2025-04-26 (1),,BAL,W,4,3,9,38,31,4,8,2,0,1,4,0,0,6,11,0.247,0.325,0.388,0.713,13,0,0,0,1,0,0,0.35,10,10,Brandon Young,R,45,19
27,27,2025-04-26 (2),,BAL,W,6,2,9,37,29,6,6,2,0,1,6,1,0,8,7,0.245,0.327,0.388,0.715,11,1,0,0,0,0,0,0.238,7,12,Keegan Akin,L,55,19
28,28,4/27/2025,,BAL,W,7,0,9,36,31,7,9,3,0,0,7,1,0,5,5,0.247,0.329,0.388,0.717,12,0,0,0,0,0,0,0.346,5,10,Dean Kremer,R,40,18
29,29,4/28/2025,@,HOU,L,5,8,9,36,32,5,5,2,0,3,5,1,0,4,12,0.244,0.327,0.392,0.718,16,0,0,0,0,0,0,0.118,4,11,Ronel Blanco,R,53,21
30,30,4/29/2025,@,HOU,L,4,6,9,39,35,4,8,2,0,2,4,2,0,3,13,0.243,0.326,0.394,0.72,16,0,1,0,0,0,0,0.3,8,11,Ryan Gusto,R,51,22
31,31,4/30/2025,@,HOU,W,7,4,9,39,36,7,11,0,0,2,7,0,0,1,7,0.245,0.326,0.397,0.722,17,1,0,0,1,0,0,0.321,5,11,AJ Blubaugh,R,39,17
32,32,5/1/2025,@,LAA,W,10,4,9,44,40,10,13,0,0,4,10,1,0,3,10,0.248,0.328,0.405,0.733,25,0,1,0,0,0,0,0.346,7,13,Yusei Kikuchi,L,53,30
33,33,5/2/2025,@,LAA,W,9,1,9,41,39,9,14,1,0,5,8,0,0,2,8,0.252,0.33,0.418,0.748,30,2,0,0,0,0,0,0.346,5,10,José Soriano,R,64,30
34,34,5/3/2025,@,LAA,L,2,5,9,32,32,2,6,1,0,1,2,0,0,0,3,0.25,0.326,0.415,0.741,10,1,0,0,0,0,0,0.179,3,11,Kyle Hendricks,R,70,9
