,,,,,Score,,,,Batting Stats,,,,,,,,,,,,,,,,,,,,,,,,,,Opp Starter,,
Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc
1,1,3/27/2025,,NYM,W,3,1,9,36,29,3,7,0,0,0,2,0,0,5,7,0.241,0.371,0.241,0.613,7,1,1,1,0,0,0,0.318,9,10,Clay Holmes,R,44
2,2,3/28/2025,,NYM,L,1,3,9,34,29,1,3,0,0,0,1,0,0,4,10,0.172,0.29,0.172,0.462,3,1,0,0,1,0,0,0.15,6,9,Tylor Megill,R,62
3,3,3/29/2025,,NYM,W,2,1,9,31,27,2,5,1,0,1,2,0,1,4,6,0.176,0.29,0.224,0.514,9,1,0,0,0,0,0,0.2,5,11,Griffin Canning,R,55
4,4,3/31/2025,,SFG,L,2,7,9,34,30,2,3,1,0,0,2,0,0,3,10,0.157,0.269,0.2,0.469,4,0,1,0,0,0,0,0.15,5,9,Jordan Hicks,R,74
5,5,4/1/2025,,SFG,L,1,3,9,31,31,1,7,0,0,1,1,0,0,0,7,0.171,0.261,0.226,0.487,10,3,0,0,0,0,0,0.261,3,11,Logan Webb,R,69
6,6,4/2/2025,,SFG,L,3,6,9,39,34,3,7,0,0,0,3,1,0,5,14,0.178,0.27,0.222,0.492,7,0,0,0,0,0,0,0.35,9,9,Landen Roupp,R,46
7,7,4/3/2025,@,MIN,W,5,2,9,37,35,5,9,3,0,2,5,0,1,0,12,0.191,0.274,0.27,0.544,18,0,2,0,0,0,0,0.333,5,11,Joe Ryan,R,47
8,8,4/5/2025,@,MIN,L,1,6,9,39,36,1,9,2,0,1,1,1,0,2,13,0.199,0.279,0.287,0.565,14,0,1,0,0,0,0,0.364,11,9,Bailey Ober,R,55
9,9,4/6/2025,@,MIN,W,9,7,10,47,40,9,13,2,0,1,7,3,1,4,9,0.216,0.294,0.309,0.604,18,1,1,1,1,1,0,0.387,9,12,Chris Paddack,R,34
10,10,4/7/2025,@,SEA,L,3,4,9,35,30,3,2,0,0,1,1,1,0,4,10,0.202,0.283,0.296,0.579,5,0,0,1,0,2,1,0.053,5,9,Logan Gilbert,R,68
11,11,4/8/2025,@,SEA,W,2,1,12,47,41,2,8,0,1,0,2,3,1,5,12,0.202,0.283,0.29,0.573,10,2,0,1,0,1,3,0.276,12,12,Luis Castillo,R,61
12,12,4/9/2025,@,SEA,L,6,7,9,45,37,6,10,1,0,0,5,2,0,7,5,0.208,0.293,0.291,0.583,11,1,0,0,1,0,0,0.303,12,11,Luis Castillo,R,34
13,13,4/11/2025,,LAA,W,14,3,9,48,38,14,17,1,0,3,13,3,0,8,3,0.229,0.315,0.327,0.642,27,0,0,0,2,0,0,0.412,10,12,Jack Kochanowicz,R,24
14,14,4/12/2025,,LAA,L,1,4,9,34,30,1,3,1,0,1,1,0,0,4,10,0.221,0.308,0.321,0.629,7,0,0,0,0,0,0,0.105,6,9,Tyler Anderson,L,69
15,15,4/13/2025,,LAA,W,7,3,9,34,27,7,6,0,0,1,7,2,0,5,3,0.221,0.31,0.322,0.632,9,2,1,0,1,0,0,0.208,3,10,Kyle Hendricks,R,32
