,,,,,Score,,,,Batting Stats,,,,,,,,,,,,,,,,,,,,,,,,,,Opp Starter,,
Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc
1,1,3/27/2025,@,CHW,L,1,8,9,35,32,1,5,1,0,1,1,0,0,2,10,0.156,0.229,0.281,0.51,9,0,1,0,0,0,0,0.19,7,11,Sean Burke,R,69
2,2,3/29/2025,@,CHW,W,1,0,9,36,32,1,8,0,0,0,1,1,0,4,7,0.203,0.282,0.266,0.547,8,3,0,0,0,0,0,0.32,8,10,Jonathan Cannon,R,61
3,3,3/30/2025,@,CHW,W,3,2,9,34,30,3,6,1,0,1,3,0,0,2,6,0.202,0.276,0.287,0.563,10,3,1,0,1,1,0,0.208,4,9,Davis Martin,R,60
4,4,3/31/2025,@,STL,W,5,4,10,39,30,5,4,0,1,0,5,2,0,5,10,0.185,0.266,0.266,0.532,6,0,0,1,3,0,1,0.174,5,9,Miles Mikolas,R,57
5,5,4/1/2025,@,STL,W,9,7,11,42,40,9,10,3,1,0,9,1,1,2,6,0.201,0.27,0.293,0.563,15,2,0,0,0,0,1,0.294,2,10,Matthew Liberatore,L,52
6,6,4/2/2025,@,STL,L,5,12,9,36,33,5,6,1,0,2,5,0,0,1,11,0.198,0.267,0.31,0.577,13,0,2,0,0,0,0,0.2,4,9,Sonny Gray,R,51
7,7,4/4/2025,,CLE,L,6,8,9,45,40,6,12,3,0,2,6,0,0,4,14,0.215,0.286,0.346,0.632,21,0,1,0,0,0,0,0.417,12,12,Gavin Williams,R,39
8,8,4/5/2025,,CLE,W,10,4,9,41,35,10,12,1,0,4,10,0,0,5,9,0.232,0.306,0.393,0.7,25,0,1,0,0,0,0,0.364,7,10,Tanner Bibee,R,19
9,9,4/6/2025,,CLE,W,6,2,9,36,32,6,9,1,0,3,6,2,0,1,5,0.237,0.306,0.414,0.721,19,0,1,0,2,0,1,0.231,6,9,Luis Ortiz,R,49
10,10,4/8/2025,@,TBR,W,4,3,9,39,33,4,6,1,0,1,4,0,0,6,7,0.231,0.306,0.404,0.71,10,0,0,0,0,0,1,0.2,8,11,Shane Baz,R,65
11,11,4/9/2025,@,TBR,L,4,5,9,39,34,4,7,0,0,4,4,1,0,5,8,0.229,0.306,0.418,0.724,19,0,0,0,0,0,0,0.136,8,12,Ryan Pepiot,R,45
12,12,4/10/2025,@,TBR,W,11,1,9,42,40,11,14,2,0,6,11,0,0,1,5,0.241,0.312,0.46,0.772,34,1,0,0,0,0,0,0.276,4,11,Zack Littell,R,21
13,13,4/11/2025,@,HOU,L,3,14,9,36,33,3,8,3,0,1,3,0,0,2,10,0.241,0.311,0.457,0.768,14,1,1,0,0,0,0,0.318,6,11,Ronel Blanco,R,55
14,14,4/12/2025,@,HOU,W,4,1,9,37,35,4,8,1,0,2,4,1,0,2,10,0.24,0.308,0.455,0.764,15,0,0,0,0,0,0,0.261,6,9,Ryan Gusto,R,47
15,15,4/13/2025,@,HOU,L,3,7,9,37,36,3,9,0,0,3,3,0,0,0,16,0.241,0.306,0.458,0.764,18,0,1,0,0,0,0,0.353,7,11,Hayden Wesneski,R,60
16,16,4/15/2025,@,TEX,L,0,4,9,33,30,0,5,1,0,0,0,1,1,2,11,0.237,0.302,0.444,0.747,6,1,1,0,0,0,0,0.263,6,9,Tyler Mahle,R,73
17,17,4/16/2025,@,TEX,L,1,3,9,33,31,1,6,1,0,0,1,0,0,1,9,0.234,0.299,0.432,0.732,7,1,1,0,0,0,0,0.273,5,11,Patrick Corbin,L,59
18,18,4/17/2025,@,TEX,L,3,5,9,33,33,3,5,1,0,0,3,0,0,0,11,0.23,0.292,0.419,0.711,6,0,0,0,0,0,0,0.227,3,9,Kumar Rocker,R,63
19,19,4/18/2025,,SFG,W,2,0,9,29,29,2,5,3,0,0,1,0,0,0,12,0.227,0.287,0.412,0.699,8,1,0,0,0,1,0,0.294,3,9,Logan Webb,R,70
20,20,4/19/2025,,SFG,L,2,3,9,33,32,2,6,0,0,2,2,0,0,1,10,0.225,0.284,0.41,0.694,12,1,0,0,0,0,0,0.2,4,10,Landen Roupp,R,67
21,21,4/20/2025,,SFG,W,5,4,9,35,30,5,6,2,0,1,5,0,0,4,9,0.224,0.285,0.409,0.694,11,1,1,0,0,0,0,0.25,5,10,Justin Verlander,R,68
22,22,4/22/2025,,PIT,L,3,9,9,34,31,3,5,2,0,1,3,0,0,2,12,0.222,0.282,0.405,0.687,10,0,0,0,1,0,0,0.211,4,10,Bailey Falter,L,45
23,23,4/23/2025,,PIT,L,0,3,9,30,30,0,2,2,0,0,0,0,0,0,12,0.216,0.274,0.394,0.668,4,0,0,0,0,1,0,0.111,3,9,Andrew Heaney,L,79
24,24,4/24/2025,,PIT,W,4,3,9,32,31,4,6,1,1,2,4,0,0,1,7,0.215,0.272,0.398,0.67,15,0,0,0,0,1,0,0.182,4,9,Carmen Mlodzinski,R,48
25,25,4/25/2025,@,MIN,L,4,11,9,39,37,4,10,1,0,2,4,1,0,2,10,0.217,0.274,0.4,0.674,17,1,0,0,0,1,0,0.32,8,11,Pablo López,R,53
26,26,4/26/2025,@,MIN,L,1,5,9,32,32,1,5,0,0,1,1,3,0,0,13,0.215,0.27,0.395,0.664,8,0,0,0,0,0,0,0.222,4,10,Simeon Woods Richardson,R,63
27,27,4/27/2025,@,MIN,L,0,5,9,32,30,0,4,2,0,0,0,0,1,2,13,0.212,0.267,0.388,0.655,6,0,0,0,0,0,0,0.235,5,9,Joe Ryan,R,79
28,28,4/29/2025,@,SEA,L,3,5,9,36,31,3,6,4,0,1,3,0,0,5,11,0.212,0.268,0.389,0.658,13,2,0,0,0,0,0,0.263,6,9,Bryce Miller,R,64
