Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Metric
1,1,3/27/2025,,PIT,W,5,4,9,38,30,5,7,1,1,0,4,1,0,7,11,0.233,0.395,0.333,0.728,10,1,1,0,0,1,1,0.368,9,11,Paul Skenes,R,59,19
2,2,3/28/2025,,PIT,L,3,4,9,35,31,3,7,1,0,1,3,0,0,3,7,0.23,0.347,0.344,0.691,11,2,0,1,0,0,0,0.261,5,11,Mitch Keller,R,61,12
3,3,3/29/2025,,PIT,W,5,4,12,50,45,5,13,5,0,0,5,2,0,3,9,0.255,0.339,0.368,0.707,18,1,0,1,1,1,2,0.351,14,11,Bailey Falter,L,54,24
4,4,3/30/2025,,PIT,W,3,2,9,33,30,3,7,1,0,1,2,2,0,2,5,0.25,0.331,0.368,0.699,11,1,1,0,0,0,0,0.25,6,10,Andrew Heaney,L,56,15
5,5,3/31/2025,,NYM,L,4,10,9,40,34,4,9,1,0,2,4,0,0,4,12,0.253,0.337,0.388,0.725,16,1,1,1,0,0,0,0.35,9,10,David Peterson,L,60,20
6,6,4/1/2025,,NYM,W,4,2,9,29,28,4,3,2,0,1,4,0,1,1,9,0.232,0.311,0.374,0.685,8,0,0,0,0,2,0,0.111,1,9,Kodai Senga,R,56,8
7,7,4/2/2025,,NYM,L,5,6,11,50,44,5,13,1,0,0,4,1,1,4,11,0.244,0.317,0.364,0.681,14,0,0,1,1,0,0,0.382,14,12,Clay Holmes,R,50,18
8,8,4/4/2025,@,ATL,L,0,10,9,31,31,0,4,0,0,0,0,0,0,0,12,0.231,0.298,0.337,0.635,4,0,0,0,0,0,0,0.211,4,9,Spencer Schwellenbach,R,88,4
9,9,4/5/2025,@,ATL,W,4,0,9,40,34,4,10,3,0,2,4,1,0,5,10,0.238,0.308,0.362,0.669,19,0,0,1,0,0,0,0.364,9,9,AJ Smith-Shawver,R,41,25
10,10,4/7/2025,@,NYM,L,0,2,9,33,30,0,7,0,0,0,0,1,1,3,8,0.237,0.307,0.35,0.658,7,2,0,0,0,0,0,0.318,6,11,Kodai Senga,R,59,8
11,11,4/8/2025,@,NYM,L,5,10,9,36,33,5,7,1,0,1,5,0,1,3,14,0.235,0.305,0.349,0.654,11,0,0,0,0,0,0,0.333,4,11,Clay Holmes,R,49,13
12,12,4/9/2025,@,NYM,W,5,0,9,43,38,5,10,0,0,1,5,0,0,5,12,0.238,0.309,0.348,0.657,13,0,0,0,0,0,0,0.36,11,9,Tylor Megill,R,50,18
13,13,4/11/2025,,WSN,L,4,7,9,41,34,4,7,2,1,0,4,1,0,4,5,0.235,0.31,0.346,0.656,11,0,2,1,0,0,0,0.241,10,10,Mitchell Parker,L,49,18
14,14,4/12/2025,,WSN,W,7,6,9,37,33,7,11,4,0,1,6,2,0,3,4,0.242,0.315,0.36,0.675,18,0,0,0,1,0,0,0.345,6,9,Trevor Williams,R,25,23
15,15,4/13/2025,,WSN,W,11,4,9,44,35,11,14,3,0,1,11,2,1,7,9,0.253,0.328,0.375,0.703,20,0,0,1,1,0,0,0.5,9,11,MacKenzie Gore,L,44,28
16,16,4/15/2025,,ARI,L,4,10,9,38,35,4,9,4,0,0,4,0,0,2,11,0.253,0.326,0.374,0.7,13,0,0,0,1,0,0,0.36,7,9,Merrill Kelly,R,70,15
17,17,4/16/2025,,ARI,L,2,6,9,37,33,2,7,1,0,1,2,0,1,3,10,0.251,0.324,0.372,0.696,11,0,1,0,0,0,0,0.273,8,12,Brandon Pfaadt,R,59,14
18,18,4/17/2025,,ARI,L,4,6,9,46,42,4,13,3,0,0,3,0,0,4,16,0.255,0.327,0.373,0.7,16,0,0,0,0,1,0,0.5,15,12,Eduardo Rodríguez,L,49,20
19,19,4/18/2025,@,PHI,L,2,7,9,34,32,2,5,0,0,1,2,0,0,2,16,0.25,0.321,0.367,0.688,8,0,0,0,0,0,0,0.267,5,9,Zack Wheeler,R,72,10
20,20,4/19/2025,@,PHI,L,10,11,9,46,42,10,15,4,0,2,10,0,0,3,2,0.256,0.327,0.38,0.707,25,1,1,0,0,0,0,0.342,9,12,Taijuan Walker,R,55,28
21,21,4/20/2025,@,PHI,W,7,5,10,44,41,7,13,2,0,1,6,2,1,1,9,0.26,0.326,0.384,0.71,18,0,0,0,2,1,0,0.364,8,10,Jesús Luzardo,L,62,20
22,22,4/21/2025,,CIN,W,6,3,9,38,33,6,10,1,0,2,6,6,1,3,4,0.262,0.329,0.389,0.719,17,0,2,0,0,0,0,0.296,8,10,Nick Lodolo,L,45,27
23,23,4/22/2025,,CIN,W,4,3,9,36,31,4,9,4,0,0,3,1,1,5,6,0.263,0.332,0.39,0.722,13,0,0,0,0,0,1,0.36,8,9,Nick Martinez,R,53,19
24,24,4/23/2025,,CIN,L,2,5,9,33,33,2,6,2,0,1,2,0,0,0,9,0.26,0.326,0.388,0.715,11,0,0,0,0,0,0,0.217,4,9,Brady Singer,R,64,11
25,25,4/25/2025,@,SEA,W,8,4,9,37,37,8,10,2,0,2,8,0,0,0,8,0.26,0.324,0.392,0.717,18,1,0,0,0,1,0,0.296,2,11,Logan Gilbert,R,62,17
26,26,4/26/2025,@,SEA,L,0,14,9,33,31,0,4,0,0,0,0,0,0,2,7,0.256,0.32,0.383,0.703,4,1,0,0,0,1,0,0.167,6,11,Luis Castillo,R,73,5
27,27,4/27/2025,@,SEA,L,6,7,9,39,35,6,9,1,0,3,6,0,0,3,7,0.256,0.319,0.389,0.709,19,0,0,1,0,0,0,0.24,6,9,Logan Evans,R,55,22
28,28,4/28/2025,@,LAD,L,6,7,10,39,35,6,8,1,0,1,6,0,0,4,4,0.255,0.319,0.388,0.707,12,3,0,0,0,0,0,0.233,4,12,Dustin May,R,46,13
29,29,4/29/2025,@,LAD,L,2,15,9,36,35,2,9,0,1,0,2,1,0,1,7,0.255,0.318,0.385,0.703,11,0,0,0,0,0,0,0.321,7,10,Jack Dreyer,L,51,13
30,30,4/30/2025,@,LAD,L,7,12,9,38,36,7,9,2,0,2,7,0,0,2,12,0.255,0.317,0.388,0.705,17,0,0,0,0,0,0,0.318,4,10,Tony Gonsolin,R,57,19
31,31,5/2/2025,,ATH,L,1,6,9,33,32,1,7,1,0,1,1,0,1,1,10,0.253,0.315,0.387,0.701,11,1,0,0,0,0,0,0.286,5,10,Gunnar Hoglund,R,63,10
32,32,5/3/2025,,ATH,W,9,6,9,38,30,9,5,3,0,2,8,3,0,6,9,0.251,0.315,0.389,0.704,14,0,1,0,1,0,0,0.15,3,9,Osvaldo Bido,R,47,24
33,33,5/4/2025,,ATH,L,2,3,9,32,32,2,5,1,0,0,2,1,0,0,4,0.248,0.311,0.383,0.694,6,0,0,0,0,0,0,0.179,3,10,JP Sears,L,59,7
34,34,5/5/2025,,LAD,L,4,7,9,41,38,4,10,1,0,1,4,1,0,3,10,0.249,0.311,0.383,0.694,14,0,0,0,0,1,0,0.333,10,12,Jack Dreyer,L,54,18
35,35,5/6/2025,,LAD,W,5,4,10,40,34,5,11,2,0,1,5,3,1,5,14,0.251,0.314,0.385,0.699,16,1,0,1,0,0,1,0.526,9,12,Tony Gonsolin,R,57,23
36,36,5/7/2025,,LAD,L,1,10,9,34,31,1,5,1,0,0,1,0,0,2,9,0.249,0.311,0.38,0.692,6,1,0,0,1,1,0,0.217,6,10,Landon Knack,R,63,7
37,37,5/9/2025,@,CHW,L,2,6,9,40,34,2,7,2,0,1,2,3,0,5,5,0.248,0.311,0.38,0.691,12,0,1,0,0,0,0,0.214,11,9,Bryse Wilson,R,56,21
