Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Metric
1,1,3/27/2025,@,STL,L,3,5,9,37,34,3,8,2,0,1,3,1,0,3,11,0.235,0.297,0.382,0.68,13,1,0,0,0,0,0,0.318,7,10,Sonny Gray,R,55,16
2,2,3/29/2025,@,STL,L,1,5,9,30,30,1,3,1,0,0,1,1,0,0,3,0.172,0.209,0.266,0.475,4,1,0,0,0,1,0,0.111,2,9,Erick Fedde,R,66,4
3,3,3/30/2025,@,STL,L,2,9,9,34,32,2,5,2,0,1,2,0,0,2,5,0.167,0.208,0.281,0.489,10,0,0,0,0,0,0,0.154,5,11,Andre Pallante,R,52,12
4,4,3/31/2025,@,CHW,L,0,9,9,35,30,0,2,0,0,0,0,0,0,4,13,0.143,0.206,0.23,0.436,2,0,1,0,0,1,0,0.118,8,12,Martín Pérez,L,78,7
5,5,4/1/2025,@,CHW,W,8,3,9,42,35,8,10,1,0,1,8,0,1,6,7,0.174,0.253,0.267,0.52,14,1,1,0,0,0,0,0.333,7,12,Shane Smith,R,56,19
6,6,4/2/2025,@,CHW,W,6,1,9,36,35,6,8,3,0,2,6,0,1,0,4,0.184,0.252,0.306,0.558,17,0,1,0,0,1,0,0.207,3,9,Sean Burke,R,26,17
7,7,4/3/2025,,HOU,L,2,5,9,32,32,2,5,0,1,0,2,2,0,0,11,0.18,0.24,0.294,0.534,7,1,0,0,0,1,0,0.238,3,10,Hunter Brown,R,62,8
8,8,4/5/2025,,HOU,W,6,1,9,35,30,6,6,2,0,1,4,1,0,4,10,0.182,0.249,0.302,0.551,11,0,1,0,0,0,0,0.263,5,11,Spencer Arrighetti,R,35,17
9,9,4/6/2025,,HOU,L,7,9,10,46,40,7,12,4,0,0,7,0,0,5,12,0.198,0.266,0.315,0.582,16,0,0,0,1,0,0,0.414,10,13,Ronel Blanco,R,29,21
10,10,4/7/2025,@,KCR,L,2,4,9,36,33,2,7,3,0,0,2,0,0,2,5,0.199,0.267,0.314,0.581,10,0,1,0,0,0,0,0.25,7,10,Michael Lorenzen,R,61,13
11,11,4/8/2025,@,KCR,L,1,2,9,34,33,1,7,3,0,0,1,0,0,0,12,0.201,0.264,0.313,0.578,10,1,1,0,0,0,0,0.333,6,12,Cole Ragans,L,71,10
12,12,4/9/2025,@,KCR,W,4,0,9,35,31,4,7,2,0,2,4,0,0,3,10,0.203,0.269,0.327,0.595,15,1,1,0,0,0,1,0.263,4,9,Seth Lugo,R,54,19
13,13,4/10/2025,@,KCR,L,2,3,9,38,32,2,5,2,0,1,2,0,0,5,8,0.199,0.27,0.326,0.596,10,0,1,0,0,0,0,0.174,9,11,Michael Wacha,R,55,16
14,14,4/11/2025,,DET,L,6,7,9,44,38,6,12,1,0,1,6,2,0,5,7,0.209,0.282,0.333,0.615,16,1,1,0,0,0,0,0.367,11,12,Reese Olson,R,35,23
15,15,4/12/2025,,DET,L,0,4,9,32,30,0,4,1,0,0,0,0,0,1,5,0.204,0.277,0.323,0.6,5,1,1,0,0,0,0,0.16,5,10,Jackson Jobe,R,69,6
16,16,4/13/2025,,DET,W,5,1,9,34,33,5,9,2,0,2,5,0,0,1,3,0.208,0.278,0.335,0.613,17,0,0,0,0,0,0,0.25,5,10,Casey Mize,R,42,18
17,17,4/14/2025,,NYM,L,1,5,9,33,28,1,3,0,1,0,1,0,0,3,13,0.203,0.274,0.327,0.601,5,1,1,0,1,0,0,0.188,5,10,Clay Holmes,R,65,8
18,18,4/15/2025,,NYM,W,6,3,9,37,35,6,13,2,0,1,5,2,1,0,5,0.213,0.282,0.338,0.62,18,2,2,0,0,1,0,0.414,7,11,Tylor Megill,R,42,19
19,19,4/16/2025,,NYM,W,4,3,10,39,35,4,9,2,0,0,4,0,1,4,12,0.216,0.284,0.337,0.622,11,0,0,0,0,0,0,0.391,9,11,Huascar Brazobán,R,53,14
20,20,4/18/2025,@,ATL,L,4,6,9,36,32,4,6,3,0,1,4,2,0,3,4,0.214,0.283,0.339,0.622,12,0,0,0,1,0,0,0.179,5,10,Bryce Elder,R,39,17
21,21,4/19/2025,@,ATL,L,3,4,9,38,33,3,7,1,1,1,3,1,0,4,13,0.214,0.283,0.342,0.625,13,0,0,0,1,0,0,0.3,8,11,Chris Sale,L,48,18
22,22,4/20/2025,@,ATL,L,2,6,9,38,33,2,5,1,0,1,1,0,0,4,10,0.211,0.282,0.338,0.621,9,0,1,0,0,1,0,0.182,9,9,Grant Holmes,R,60,14
23,23,4/22/2025,,CHW,W,4,2,9,36,29,4,5,0,0,1,3,2,0,5,7,0.21,0.284,0.336,0.62,8,2,2,0,0,1,0,0.19,8,10,Davis Martin,R,57,15
