Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Metric
1,1,3/27/2025,,MIL,W,4,2,9,34,29,4,7,1,0,2,4,0,1,4,10,0.241,0.324,0.483,0.806,14,0,0,0,1,0,0,0.278,6,10,Freddy Peralta,R,58,17
2,2,3/29/2025,,MIL,W,20,9,9,51,40,20,16,2,0,9,20,0,0,8,5,0.333,0.435,0.855,1.29,45,0,2,0,1,1,0,0.259,7,13,Nestor Cortes,L,9,55
3,3,3/30/2025,,MIL,W,12,3,9,39,33,12,11,0,0,4,11,0,0,4,6,0.333,0.427,0.804,1.231,23,1,1,0,1,0,1,0.292,3,12,Aaron Civale,R,32,28
4,4,4/1/2025,,ARI,L,5,7,9,36,33,5,5,1,0,3,3,1,0,3,14,0.289,0.381,0.719,1.1,15,0,0,0,0,1,0,0.125,4,11,Corbin Burnes,R,48,19
5,5,4/2/2025,,ARI,L,3,4,9,34,34,3,6,1,0,1,3,0,0,0,16,0.266,0.345,0.633,0.979,10,0,0,0,0,0,0,0.294,4,10,Zac Gallen,R,81,10
6,6,4/3/2025,,ARI,W,9,7,9,41,36,9,12,5,0,3,9,3,0,5,7,0.278,0.357,0.649,1.006,26,0,0,0,0,0,1,0.346,8,11,Merrill Kelly,R,6,35
7,7,4/4/2025,@,PIT,W,9,4,9,47,38,9,13,2,0,1,9,2,2,6,11,0.288,0.376,0.621,0.997,18,0,3,0,0,0,0,0.462,11,9,Mitch Keller,R,17,27
8,8,4/5/2025,@,PIT,W,10,4,9,43,38,10,14,6,0,2,10,2,1,2,7,0.299,0.382,0.63,1.011,26,1,2,0,1,0,0,0.4,6,9,Bailey Falter,L,24,30
9,9,4/6/2025,@,PIT,L,4,5,11,45,42,4,8,2,1,0,4,2,0,3,13,0.285,0.365,0.585,0.95,12,0,0,0,0,1,1,0.276,10,9,Andrew Heaney,L,72,18
10,10,4/7/2025,@,DET,L,2,6,9,36,33,2,7,0,1,0,1,1,0,3,8,0.278,0.357,0.556,0.913,9,1,0,0,0,1,0,0.28,7,9,Casey Mize,R,63,12
11,11,4/8/2025,@,DET,L,0,5,9,33,32,0,6,0,0,0,0,0,0,1,9,0.271,0.346,0.526,0.872,6,1,0,0,0,0,0,0.261,6,9,Tarik Skubal,L,70,6
12,12,4/9/2025,@,DET,W,4,3,9,41,34,4,7,1,0,1,4,0,0,5,13,0.265,0.346,0.509,0.855,11,1,2,0,0,0,0,0.3,10,12,Jack Flaherty,R,68,17
13,13,4/11/2025,,SFG,L,1,9,5,22,17,1,2,1,0,0,1,1,0,5,9,0.26,0.345,0.497,0.841,3,0,0,0,0,0,0,0.25,6,9,Robbie Ray,L,57,9
14,14,4/12/2025,,SFG,W,8,4,9,39,33,8,11,1,1,1,8,1,0,4,8,0.265,0.348,0.498,0.845,17,0,0,0,2,0,0,0.385,7,10,Jordan Hicks,R,18,22
15,15,4/13/2025,,SFG,L,4,5,9,38,33,4,6,3,0,1,4,0,0,4,9,0.259,0.344,0.489,0.833,12,0,1,0,0,0,0,0.217,7,10,Logan Webb,R,46,17
16,16,4/14/2025,,KCR,W,4,1,9,34,32,4,9,1,0,4,4,0,0,2,6,0.261,0.343,0.501,0.844,22,1,0,0,0,0,0,0.227,6,10,Seth Lugo,R,46,23
17,17,4/15/2025,,KCR,W,4,2,9,37,30,4,6,1,0,0,4,1,0,6,9,0.258,0.342,0.487,0.829,7,0,0,0,0,0,0,0.286,9,10,Michael Wacha,R,51,14
18,18,4/16/2025,,KCR,W,4,3,9,36,31,4,8,3,0,1,4,0,0,4,9,0.258,0.343,0.485,0.828,14,1,1,0,0,0,1,0.333,8,9,Kris Bubic,L,44,19
19,19,4/17/2025,@,TBR,W,6,3,9,40,36,6,11,1,0,1,6,1,0,4,5,0.26,0.345,0.481,0.826,15,2,0,0,0,0,0,0.333,7,11,Taj Bradley,R,25,18
20,20,4/18/2025,@,TBR,W,1,0,9,34,30,1,5,0,0,0,1,0,1,4,10,0.256,0.341,0.467,0.808,5,1,0,0,0,0,0,0.25,6,9,Drew Rasmussen,R,63,7
21,21,4/19/2025,@,TBR,L,8,10,10,46,36,8,10,0,0,1,7,2,1,7,12,0.257,0.345,0.461,0.807,13,2,2,0,1,0,0,0.375,9,12,Shane Baz,R,31,21
22,22,4/20/2025,@,TBR,W,4,0,9,36,35,4,9,2,0,3,4,2,0,1,10,0.257,0.342,0.467,0.809,20,0,0,0,0,0,0,0.273,5,9,Ryan Pepiot,R,54,23
23,23,4/21/2025,@,CLE,L,4,6,9,38,35,4,10,1,0,2,4,0,0,3,12,0.258,0.342,0.468,0.81,17,2,0,0,0,1,0,0.381,7,10,Gavin Williams,R,57,18
24,24,4/22/2025,@,CLE,L,2,3,9,36,31,2,6,1,0,1,2,1,0,4,9,0.256,0.34,0.462,0.802,10,2,0,0,1,1,0,0.227,7,11,Tanner Bibee,R,56,13
25,25,4/23/2025,@,CLE,W,5,1,9,45,37,5,11,4,1,0,5,2,0,8,14,0.258,0.344,0.462,0.806,17,1,0,0,0,0,0,0.478,13,9,Luis Ortiz,R,40,26
26,26,4/25/2025,,TOR,L,2,4,9,40,34,2,10,3,0,0,2,0,2,4,6,0.259,0.345,0.459,0.804,13,0,1,0,1,0,0,0.345,11,9,José Berríos,R,60,16
27,27,2025-04-27 (1),,TOR,W,11,2,9,44,35,11,12,6,0,1,11,0,0,8,10,0.262,0.35,0.464,0.814,21,1,0,0,1,0,0,0.44,9,12,Kevin Gausman,R,25,28
28,28,2025-04-27 (2),,TOR,W,5,1,9,36,34,5,9,1,0,3,5,0,1,2,7,0.262,0.348,0.468,0.816,19,0,0,0,0,2,0,0.25,7,10,Chris Bassitt,R,45,20
29,29,4/28/2025,@,BAL,L,3,4,9,39,37,3,10,2,0,0,3,0,0,1,15,0.263,0.347,0.462,0.809,12,0,1,0,0,0,0,0.455,9,10,Tomoyuki Sugano,R,64,14
30,30,4/29/2025,@,BAL,W,15,3,9,54,48,15,19,4,0,6,14,0,0,4,9,0.269,0.352,0.481,0.833,41,0,2,0,0,1,0,0.394,12,12,Kyle Gibson,R,3,47
31,31,4/30/2025,@,BAL,L,4,5,9,38,33,4,7,0,0,2,4,0,1,5,8,0.267,0.351,0.478,0.829,13,0,0,0,0,0,1,0.217,7,11,Cade Povich,L,45,18
32,32,5/2/2025,,TBR,W,3,0,9,34,30,3,6,2,1,1,3,1,0,4,4,0.265,0.349,0.477,0.826,13,0,0,0,0,0,0,0.2,7,9,Ryan Pepiot,R,44,18
