Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Metric
1,1,3/27/2025,@,WSN,W,7,3,10,43,37,7,8,2,1,2,6,1,1,6,19,0.216,0.326,0.486,0.812,18,0,0,0,0,0,0,0.375,7,9,MacKenzie Gore,L,83,24
2,2,3/29/2025,@,WSN,W,11,6,9,47,39,11,14,2,0,3,10,0,0,8,5,0.289,0.4,0.566,0.966,25,1,0,0,0,0,0,0.355,9,12,Jake Irvin,R,45,32
3,3,3/30/2025,@,WSN,L,1,5,9,38,33,1,8,0,0,0,1,0,0,4,6,0.275,0.383,0.468,0.851,8,2,1,0,0,0,0,0.296,10,10,Mitchell Parker,L,62,11
4,4,3/31/2025,,COL,W,6,1,9,34,33,6,11,4,0,3,6,0,0,1,5,0.289,0.377,0.528,0.905,24,1,0,0,0,0,0,0.32,4,11,Germán Márquez,R,68,24
5,5,4/2/2025,,COL,W,5,1,9,38,35,5,12,3,0,0,5,1,0,2,4,0.299,0.377,0.508,0.885,15,0,0,1,0,0,1,0.387,9,9,Kyle Freeland,L,47,19
6,6,4/3/2025,,COL,W,3,1,9,37,33,3,11,1,0,1,2,3,1,4,7,0.305,0.381,0.5,0.881,15,1,0,0,0,1,0,0.4,10,9,Antonio Senzatela,R,49,20
7,7,4/4/2025,,LAD,W,3,2,9,32,27,3,5,2,0,0,2,1,0,5,7,0.291,0.373,0.473,0.846,7,2,0,0,0,0,1,0.25,5,9,Yoshinobu Yamamoto,R,66,12
8,8,4/5/2025,,LAD,L,1,3,9,32,29,1,4,0,0,0,1,1,0,2,8,0.274,0.357,0.436,0.793,4,1,1,0,0,0,0,0.19,4,10,Roki Sasaki,R,54,7
9,9,4/6/2025,,LAD,W,8,7,9,40,29,8,6,1,0,1,7,0,0,11,7,0.268,0.365,0.427,0.792,10,1,0,0,0,0,0,0.238,8,9,Tyler Glasnow,R,29,20
10,10,4/8/2025,@,ATL,L,5,7,9,39,36,5,9,2,1,1,5,2,0,3,9,0.266,0.359,0.429,0.788,16,0,0,0,0,0,0,0.308,7,11,Chris Sale,L,31,21
11,11,4/9/2025,@,ATL,W,4,3,9,40,35,4,9,0,0,2,4,1,0,5,14,0.265,0.358,0.429,0.787,15,1,0,0,0,0,0,0.368,9,9,Grant Holmes,R,58,20
12,12,4/10/2025,@,ATL,L,2,4,11,46,38,2,7,1,0,1,2,2,0,8,10,0.257,0.355,0.416,0.771,11,2,0,0,0,0,3,0.222,13,11,Spencer Schwellenbach,R,57,22
13,13,4/11/2025,@,STL,L,0,2,9,32,30,0,3,0,0,0,0,2,0,2,4,0.247,0.342,0.394,0.736,3,0,0,0,0,0,0,0.115,5,9,Andre Pallante,R,75,7
14,14,4/12/2025,@,STL,W,4,1,9,38,34,4,8,3,0,0,4,0,0,3,10,0.246,0.339,0.389,0.728,11,0,0,1,0,0,0,0.333,7,9,Miles Mikolas,R,53,14
15,15,4/13/2025,@,STL,L,0,7,9,31,30,0,3,0,0,0,0,1,0,1,9,0.237,0.327,0.371,0.699,3,0,0,0,0,0,0,0.143,4,10,Matthew Liberatore,L,72,5
16,16,4/14/2025,,SFG,L,4,10,9,39,35,4,8,3,0,1,4,0,0,4,13,0.236,0.326,0.373,0.7,14,0,0,0,0,0,0,0.333,8,11,Landen Roupp,R,44,18
17,17,4/15/2025,,SFG,W,6,4,9,36,31,6,10,1,1,2,6,2,1,4,2,0.241,0.33,0.387,0.716,19,1,0,0,1,1,0,0.286,6,9,Justin Verlander,R,35,23
18,18,4/16/2025,,SFG,L,4,11,9,41,35,4,7,1,0,1,4,0,0,6,13,0.239,0.329,0.382,0.711,11,0,0,0,0,0,0,0.286,10,11,Robbie Ray,L,37,17
19,19,4/17/2025,,SFG,W,6,4,9,34,26,6,6,0,1,0,5,1,1,6,7,0.238,0.331,0.379,0.711,8,3,1,0,1,1,0,0.3,4,10,Jordan Hicks,R,46,12
