,,,,,Score,,,,Batting Stats,,,,,,,,,,,,,,,,,,,,,,,,,,Opp Starter,,
Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc
1,1,3/27/2025,@,MIA,L,4,5,9,40,31,4,4,1,0,1,4,6,0,7,11,0.129,0.325,0.258,0.583,8,0,2,0,0,0,0,0.158,9,10,Sandy Alcantara,R,55
2,2,3/28/2025,@,MIA,W,4,3,9,39,33,4,7,1,0,1,4,2,0,5,6,0.172,0.316,0.297,0.613,11,1,0,0,1,2,0,0.222,8,9,Connor Gillispie,R,45
3,3,3/29/2025,@,MIA,L,4,5,12,50,42,4,9,1,0,0,3,6,0,8,10,0.189,0.326,0.274,0.599,10,1,0,0,0,0,2,0.281,13,13,Valente Bellozo,R,53
4,4,3/30/2025,@,MIA,L,2,3,9,35,30,2,5,1,0,1,2,1,1,5,9,0.184,0.317,0.279,0.596,9,0,0,0,0,0,0,0.2,6,12,Max Meyer,R,59
5,5,3/31/2025,@,TBR,L,1,6,9,31,31,1,4,1,0,0,1,2,0,0,10,0.174,0.287,0.257,0.545,5,0,0,0,0,0,0,0.19,3,9,Drew Rasmussen,R,67
6,6,4/1/2025,@,TBR,L,0,7,9,34,34,0,9,0,0,0,0,0,0,0,15,0.189,0.284,0.259,0.543,9,2,0,0,0,0,0,0.474,7,10,Shane Baz,R,68
7,7,4/2/2025,@,TBR,W,4,2,9,39,33,4,8,0,1,1,4,2,1,3,5,0.197,0.291,0.278,0.569,13,0,2,0,1,0,0,0.25,8,9,Ryan Pepiot,R,49
8,8,4/4/2025,,NYY,L,4,9,9,38,35,4,9,1,0,2,4,1,1,3,11,0.204,0.294,0.301,0.595,16,0,0,0,0,0,0,0.318,7,11,Max Fried,L,58
9,9,4/5/2025,,NYY,L,4,10,9,34,29,4,4,3,0,0,4,0,0,5,10,0.198,0.291,0.295,0.586,7,2,0,0,0,0,0,0.211,3,12,Marcus Stroman,R,40
10,10,4/6/2025,,NYY,W,5,4,11,43,37,5,7,2,1,0,5,1,0,5,12,0.197,0.29,0.296,0.585,11,0,0,0,1,0,1,0.269,9,10,Will Warren,R,38
11,11,4/7/2025,,STL,W,8,4,9,36,33,8,10,2,1,1,8,0,1,2,7,0.207,0.294,0.315,0.609,17,0,0,0,1,1,0,0.346,4,9,Matthew Liberatore,L,44
12,12,4/8/2025,,STL,L,3,5,9,33,32,3,6,2,0,1,3,0,0,0,9,0.205,0.288,0.318,0.605,11,1,1,0,0,0,0,0.227,3,12,Sonny Gray,R,61
13,13,4/9/2025,,STL,W,2,1,13,49,39,2,5,0,0,0,2,0,1,9,10,0.198,0.289,0.301,0.59,5,2,1,0,0,1,2,0.172,14,12,Erick Fedde,R,70
14,14,4/11/2025,@,CIN,L,3,5,9,33,29,3,4,1,0,1,3,0,0,4,8,0.194,0.287,0.299,0.586,8,1,0,0,0,0,0,0.15,3,12,Brady Singer,R,51
15,15,4/12/2025,@,CIN,L,2,5,9,34,31,2,4,1,0,1,2,0,0,3,9,0.19,0.282,0.297,0.578,8,0,0,0,0,0,0,0.143,5,9,Andrew Abbott,L,62
16,16,4/13/2025,@,CIN,L,0,4,9,30,29,0,2,1,1,0,0,1,0,1,9,0.184,0.273,0.29,0.562,5,0,0,0,0,0,0,0.1,3,9,Hunter Greene,R,80
17,17,4/14/2025,,WSN,W,10,3,9,38,31,10,14,2,0,0,10,1,1,5,6,0.199,0.287,0.302,0.589,16,2,0,1,1,0,0,0.538,4,11,Brad Lord,R,33
18,18,4/15/2025,,WSN,L,0,3,9,32,31,0,4,0,0,0,0,0,0,1,10,0.195,0.28,0.293,0.574,4,1,0,0,0,1,0,0.19,5,9,Jake Irvin,R,76
19,19,4/16/2025,,WSN,W,6,1,9,36,32,6,8,1,0,2,6,0,0,2,6,0.198,0.283,0.302,0.585,15,0,2,0,0,0,0,0.25,6,11,Mitchell Parker,L,65
20,20,4/17/2025,,WSN,W,1,0,9,32,28,1,5,0,0,1,1,2,0,4,9,0.197,0.283,0.302,0.585,8,1,0,0,0,0,0,0.222,7,10,Trevor Williams,R,59
21,21,4/18/2025,,CLE,L,7,10,9,42,37,7,11,2,0,3,7,2,0,5,13,0.202,0.288,0.317,0.606,22,0,0,0,0,0,0,0.381,8,9,Luis Ortiz,R,56
22,22,4/19/2025,,CLE,L,0,3,9,33,31,0,6,2,1,0,0,1,0,2,7,0.202,0.286,0.318,0.604,10,1,0,0,0,0,0,0.25,6,10,Ben Lively,R,62
23,23,4/20/2025,,CLE,L,4,5,10,42,39,4,11,3,0,0,4,1,0,3,9,0.206,0.289,0.32,0.608,14,2,0,0,0,0,0,0.367,9,13,Logan Allen,L,59
24,24,4/22/2025,@,LAA,W,9,3,9,49,42,9,18,2,0,1,9,0,0,7,6,0.218,0.301,0.332,0.632,23,3,0,0,0,1,0,0.486,13,10,José Soriano,R,22
25,25,4/23/2025,@,LAA,W,3,0,9,38,34,3,11,0,0,1,3,2,0,2,8,0.222,0.304,0.335,0.638,14,3,1,0,1,0,0,0.385,8,10,Jack Kochanowicz,R,50
26,26,4/24/2025,@,LAA,L,3,4,9,37,36,3,9,2,0,2,3,0,0,1,5,0.223,0.302,0.341,0.643,17,0,0,0,0,0,0,0.241,7,11,Tyler Anderson,L,49
27,27,4/25/2025,@,LAD,W,3,0,9,37,31,3,6,0,0,0,3,2,1,5,7,0.222,0.303,0.336,0.639,6,2,1,0,0,1,0,0.25,7,10,Yoshinobu Yamamoto,R,50
28,28,4/26/2025,@,LAD,L,4,8,9,39,34,4,8,2,0,1,3,1,0,4,9,0.223,0.304,0.337,0.641,13,0,1,0,0,0,0,0.292,8,10,Roki Sasaki,R,49
