Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Metric
1,1,3/27/2025,,ATL,W,7,4,9,36,31,7,10,2,0,1,7,5,0,2,9,0.323,0.343,0.484,0.827,15,0,0,1,2,0,1,0.391,5,12,Chris Sale,L,49,23
2,2,3/28/2025,,ATL,W,4,3,9,35,33,4,10,1,0,2,4,0,0,2,3,0.313,0.343,0.5,0.843,17,0,0,0,0,0,0,0.286,7,9,Reynaldo López,R,36,19
3,3,3/29/2025,,ATL,W,1,0,9,30,27,1,4,1,0,0,1,0,1,2,7,0.264,0.31,0.407,0.717,5,0,1,0,0,0,1,0.2,5,11,Spencer Schwellenbach,R,73,8
4,4,3/30/2025,,ATL,W,5,0,9,37,31,5,9,5,0,0,5,4,0,6,9,0.27,0.336,0.418,0.754,14,1,0,0,0,0,0,0.409,8,10,AJ Smith-Shawver,R,43,23
5,5,3/31/2025,,CLE,W,7,2,9,39,33,7,12,3,0,0,7,1,0,5,4,0.29,0.358,0.426,0.784,15,0,0,0,1,1,0,0.4,8,9,Luis Ortiz,R,16,21
6,6,4/1/2025,,CLE,W,7,0,9,38,29,7,10,1,0,1,6,3,0,7,3,0.299,0.376,0.435,0.81,14,3,0,1,1,0,0,0.346,7,11,Logan Allen,L,34,21
7,7,4/2/2025,,CLE,W,5,2,9,36,34,5,10,0,0,2,3,2,0,2,5,0.298,0.369,0.44,0.81,16,1,0,0,0,0,0,0.296,7,10,Ben Lively,R,35,19
8,8,4/4/2025,@,CHC,L,1,3,9,34,32,1,6,2,0,1,1,0,0,1,6,0.284,0.351,0.428,0.779,11,0,0,1,0,0,0,0.2,6,11,Shota Imanaga,L,70,12
9,9,4/5/2025,@,CHC,L,1,7,9,35,33,1,8,1,0,0,1,0,0,1,7,0.279,0.344,0.41,0.754,9,1,1,0,0,0,0,0.308,7,12,Matthew Boyd,L,66,10
10,10,4/6/2025,@,CHC,W,8,7,9,49,40,8,13,0,0,1,7,3,0,8,10,0.285,0.358,0.409,0.767,16,0,1,0,0,0,0,0.414,14,11,Ben Brown,R,29,28
