Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Metric
1,1,3/27/2025,,ATH,W,4,2,9,35,25,4,5,0,0,2,4,1,0,7,7,0.2,0.382,0.44,0.822,11,1,1,1,1,0,0,0.176,7,9,Luis Severino,R,68,19
2,2,3/28/2025,,ATH,L,0,7,9,34,31,0,5,0,0,0,0,0,0,3,13,0.179,0.309,0.286,0.595,5,0,0,0,0,0,0,0.278,7,11,Jeffrey Springs,L,74,8
3,3,3/29/2025,,ATH,L,2,4,9,38,30,2,5,1,0,0,1,4,0,6,12,0.174,0.321,0.256,0.577,6,1,2,0,0,0,0,0.278,9,11,Osvaldo Bido,R,55,17
4,4,3/30/2025,,ATH,W,2,1,9,28,28,2,5,0,0,1,2,0,1,0,9,0.175,0.291,0.263,0.554,8,0,0,0,0,0,0,0.222,2,9,JP Sears,L,63,7
5,5,3/31/2025,,DET,L,6,9,9,41,35,6,8,2,1,3,6,0,0,6,9,0.188,0.303,0.342,0.645,21,0,0,0,0,0,0,0.217,8,10,Jackson Jobe,R,43,27
6,6,4/1/2025,,DET,L,1,4,9,32,26,1,1,0,0,0,1,0,0,4,7,0.166,0.285,0.297,0.582,1,0,1,0,1,0,0,0.05,4,9,Casey Mize,R,70,6
7,7,4/2/2025,,DET,W,3,2,9,32,29,3,6,2,0,1,3,1,1,3,9,0.172,0.285,0.309,0.593,11,0,0,0,0,0,0,0.263,5,9,Tarik Skubal,L,50,14
8,8,4/4/2025,@,SFG,L,9,10,11,56,48,9,15,0,0,2,6,3,0,7,8,0.198,0.306,0.333,0.639,21,0,0,1,0,0,1,0.342,16,12,Justin Verlander,R,35,32
9,9,4/5/2025,@,SFG,L,1,4,9,36,30,1,7,0,0,1,1,2,2,6,5,0.202,0.312,0.333,0.645,10,2,0,0,0,0,0,0.25,8,11,Robbie Ray,L,57,14
10,10,4/6/2025,@,SFG,L,4,5,9,42,37,4,11,2,0,2,4,1,0,3,6,0.213,0.32,0.354,0.674,19,1,2,0,0,0,1,0.31,11,13,Jordan Hicks,R,48,25
11,11,4/7/2025,,HOU,W,4,3,9,30,27,4,4,0,0,1,4,3,0,2,6,0.208,0.312,0.347,0.659,7,0,0,1,0,0,0,0.15,2,10,Hayden Wesneski,R,68,12
12,12,4/8/2025,,HOU,L,1,2,12,44,40,1,5,2,0,0,1,4,0,3,19,0.199,0.301,0.329,0.63,7,1,1,0,0,0,0,0.238,10,11,Framber Valdez,L,75,14
13,13,4/9/2025,,HOU,W,7,6,9,40,34,7,7,3,0,1,7,1,0,6,6,0.2,0.303,0.333,0.636,13,0,0,0,0,0,0,0.222,7,13,Hunter Brown,R,71,20
14,14,4/11/2025,,TEX,W,5,3,9,33,29,5,6,0,0,3,5,2,0,4,8,0.2,0.303,0.345,0.648,15,1,0,0,0,0,0,0.167,4,10,Jacob deGrom,R,44,20
15,15,4/12/2025,,TEX,W,9,2,9,37,31,9,11,3,1,1,8,1,0,4,7,0.21,0.312,0.363,0.674,19,2,1,0,1,0,0,0.417,4,9,Kumar Rocker,R,36,23
16,16,4/13/2025,,TEX,W,3,1,9,32,30,3,6,0,0,1,3,0,1,0,7,0.21,0.308,0.359,0.667,9,0,2,0,0,1,0,0.227,5,11,Nathan Eovaldi,R,50,10
17,17,4/15/2025,@,CIN,L,4,8,9,39,33,4,6,0,0,2,4,3,0,5,12,0.208,0.308,0.359,0.667,12,0,1,0,0,0,0,0.211,8,11,Nick Lodolo,L,43,21
18,18,4/16/2025,@,CIN,W,5,3,9,41,37,5,10,3,0,2,5,2,1,4,8,0.212,0.31,0.369,0.679,19,0,0,0,0,1,0,0.296,9,10,Nick Martinez,R,37,24
19,19,4/17/2025,@,CIN,W,11,7,10,51,42,11,14,3,0,3,10,3,2,7,9,0.22,0.318,0.386,0.704,26,0,0,1,1,1,0,0.355,11,12,Brady Singer,R,40,34
20,20,4/18/2025,@,TOR,L,1,3,9,32,28,1,5,1,0,1,1,1,1,2,7,0.218,0.316,0.383,0.7,9,0,2,0,0,0,0,0.2,4,12,Bowden Francis,R,62,13
21,21,4/19/2025,@,TOR,W,8,4,12,53,44,8,10,2,0,2,8,0,0,8,11,0.219,0.318,0.385,0.703,18,1,0,1,0,0,1,0.258,12,12,José Berríos,R,51,26
22,22,4/20/2025,@,TOR,W,8,3,9,42,39,8,12,1,0,3,8,0,1,2,18,0.224,0.32,0.394,0.715,22,0,1,0,0,0,0,0.5,7,10,Easton Lucas,L,20,24
23,23,4/22/2025,@,BOS,L,3,8,9,39,31,3,6,2,0,1,3,0,1,6,5,0.223,0.322,0.393,0.715,11,1,2,0,0,0,0,0.2,9,12,Brayan Bello,R,55,17
24,24,4/23/2025,@,BOS,W,8,5,9,45,40,8,13,0,0,1,7,1,0,5,12,0.228,0.326,0.393,0.719,16,0,0,0,0,1,0,0.444,10,10,Sean Newcomb,L,41,22
25,25,4/24/2025,@,BOS,W,4,3,9,43,34,4,9,1,0,0,4,2,0,8,13,0.229,0.329,0.389,0.718,10,1,0,0,1,0,0,0.409,12,12,Garrett Crochet,L,45,19
26,26,4/25/2025,,MIA,L,4,8,9,35,33,4,7,1,0,2,4,0,1,2,6,0.228,0.326,0.39,0.717,14,0,0,0,0,0,0,0.2,4,9,Cal Quantrill,R,48,15
27,27,4/26/2025,,MIA,W,14,0,9,46,37,14,15,3,0,4,14,0,0,7,6,0.236,0.334,0.407,0.741,30,0,1,0,1,0,0,0.393,8,11,Connor Gillispie,R,15,38
28,28,4/27/2025,,MIA,W,7,6,9,40,33,7,9,3,0,2,7,0,0,5,11,0.237,0.336,0.412,0.749,18,0,2,0,0,0,0,0.35,9,9,Max Meyer,R,34,25
29,29,4/29/2025,,LAA,W,5,3,9,35,29,5,7,0,0,2,5,0,0,6,6,0.237,0.337,0.413,0.751,13,2,0,0,0,0,0,0.238,6,9,Jack Kochanowicz,R,54,17
30,30,4/30/2025,,LAA,W,9,3,9,39,36,9,12,1,0,1,8,2,0,3,6,0.241,0.339,0.415,0.754,16,1,0,0,0,1,0,0.379,6,11,Tyler Anderson,L,57,20
31,31,5/2/2025,@,TEX,W,13,1,9,48,43,13,17,4,0,3,13,0,0,3,3,0.247,0.343,0.426,0.769,30,1,1,0,1,1,0,0.368,8,12,Jack Leiter,R,23,33
32,32,5/3/2025,@,TEX,W,2,1,9,37,34,2,10,3,0,1,2,0,0,2,3,0.248,0.343,0.428,0.77,16,2,0,1,0,0,0,0.3,8,12,Patrick Corbin,L,55,16
33,33,5/4/2025,@,TEX,L,1,8,9,33,30,1,4,0,0,0,1,1,0,3,5,0.245,0.339,0.42,0.759,4,1,0,0,0,0,0,0.16,5,11,Jacob deGrom,R,58,7
34,34,5/5/2025,@,ATH,L,6,7,11,46,38,6,8,1,0,0,6,1,0,7,9,0.244,0.339,0.414,0.752,9,1,0,0,1,0,0,0.267,9,13,Luis Severino,R,47,16
35,35,5/6/2025,@,ATH,W,5,3,9,43,36,5,10,2,0,1,5,1,0,4,11,0.245,0.34,0.414,0.754,15,0,2,0,1,0,0,0.36,11,12,Jeffrey Springs,L,51,22
36,36,5/7/2025,@,ATH,W,6,5,9,41,38,6,11,3,0,1,6,3,0,3,7,0.247,0.34,0.415,0.755,17,0,0,0,0,0,0,0.333,8,10,Gunnar Hoglund,R,52,23
37,37,5/9/2025,,TOR,L,3,6,9,39,37,3,9,2,0,0,3,0,0,2,11,0.246,0.338,0.411,0.75,11,0,0,0,0,0,0,0.346,9,12,Kevin Gausman,R,45,13
38,38,5/10/2025,,TOR,L,3,6,9,34,32,3,6,1,0,1,3,0,0,1,10,0.245,0.335,0.409,0.744,10,0,0,0,1,0,0,0.227,4,9,Bowden Francis,R,54,11
39,39,5/11/2025,,TOR,L,1,9,9,30,28,1,4,1,0,1,1,0,1,2,7,0.243,0.333,0.406,0.739,8,2,0,0,0,0,0,0.15,2,12,José Ureña,R,47,7
40,40,5/12/2025,,NYY,L,5,11,9,36,32,5,6,1,0,3,5,0,0,3,10,0.242,0.331,0.408,0.739,16,0,0,1,0,0,0,0.158,4,12,Clarke Schmidt,R,58,19
41,41,5/13/2025,,NYY,W,2,1,11,37,34,2,6,1,0,0,2,0,0,2,13,0.24,0.329,0.403,0.732,7,1,0,1,0,0,0,0.286,7,13,Max Fried,L,58,8
42,42,5/14/2025,,NYY,L,2,3,9,36,32,2,6,1,0,0,2,2,0,2,15,0.239,0.327,0.399,0.727,7,1,2,0,0,0,0,0.353,7,11,Will Warren,R,59,12
43,43,5/16/2025,@,SDP,W,5,1,9,38,35,5,10,0,0,3,5,0,0,3,9,0.24,0.328,0.403,0.73,19,2,0,0,0,0,0,0.304,6,12,Stephen Kolek,R,34,20
44,44,5/17/2025,@,SDP,W,4,1,9,36,33,4,6,0,0,2,4,0,0,3,11,0.239,0.326,0.402,0.728,12,0,0,0,0,0,0,0.2,5,11,Nick Pivetta,R,70,15
45,45,5/18/2025,@,SDP,W,6,1,9,41,35,6,8,3,0,1,6,0,0,5,12,0.238,0.326,0.402,0.728,14,0,0,0,1,1,0,0.304,8,10,Michael King,R,49,19
46,46,5/19/2025,@,CHW,W,5,1,9,38,35,5,8,0,0,1,5,0,1,3,5,0.238,0.325,0.4,0.725,11,0,0,0,0,1,0,0.241,6,10,Davis Martin,R,64,13
47,47,5/20/2025,@,CHW,L,0,1,9,34,29,0,4,3,0,0,0,0,1,4,6,0.236,0.324,0.397,0.721,7,2,1,0,0,1,0,0.174,7,13,Adrian Houser,R,67,9
48,48,5/21/2025,@,CHW,W,6,5,9,42,35,6,7,1,0,3,6,2,0,5,8,0.236,0.324,0.399,0.723,17,0,2,0,0,1,0,0.167,9,11,Shane Smith,R,55,26
49,49,5/22/2025,@,HOU,L,2,9,9,41,37,2,10,0,0,1,2,0,0,4,15,0.236,0.325,0.398,0.722,13,1,0,0,0,0,0,0.429,12,12,Lance McCullers Jr.,R,50,16
50,50,5/23/2025,@,HOU,W,5,3,9,39,34,5,10,2,0,3,5,0,0,5,10,0.237,0.326,0.402,0.728,21,1,0,0,0,0,0,0.333,7,12,Ryan Gusto,R,50,25
51,51,5/24/2025,@,HOU,L,1,2,9,36,31,1,5,0,1,0,1,2,0,5,11,0.236,0.325,0.399,0.724,7,0,0,0,0,0,0,0.25,8,10,Framber Valdez,L,61,14
52,52,5/25/2025,@,HOU,L,3,5,9,40,38,3,11,1,0,0,3,0,0,1,10,0.237,0.325,0.397,0.722,12,0,1,0,0,0,0,0.393,10,12,Colton Gordon,L,45,14
53,53,5/27/2025,,WSN,W,9,1,9,41,36,9,12,2,0,3,8,0,0,4,8,0.239,0.327,0.402,0.729,23,1,1,0,0,0,0,0.36,8,9,Mitchell Parker,L,37,27
54,54,5/28/2025,,WSN,L,0,9,9,31,31,0,5,0,0,0,0,0,1,0,4,0.238,0.324,0.398,0.722,5,0,0,0,0,0,0,0.185,4,10,Trevor Williams,R,68,4
55,55,5/29/2025,,WSN,L,3,9,10,40,35,3,7,0,0,0,3,4,1,3,11,0.237,0.324,0.394,0.718,7,1,2,0,0,0,0,0.292,8,12,MacKenzie Gore,L,72,14
56,56,5/30/2025,,MIN,L,6,12,10,39,38,6,9,0,0,3,6,0,0,1,8,0.237,0.323,0.396,0.718,18,1,0,0,0,0,0,0.222,4,10,Zebby Matthews,R,55,18
57,57,5/31/2025,,MIN,W,5,4,11,44,40,5,10,2,0,2,5,0,1,3,9,0.237,0.322,0.397,0.719,18,0,0,1,0,0,1,0.276,10,12,Bailey Ober,R,45,21
58,58,6/1/2025,,MIN,W,2,1,9,32,31,2,6,1,0,1,2,1,0,1,11,0.237,0.321,0.396,0.716,10,0,0,0,0,0,0,0.263,5,9,Chris Paddack,R,79,12
59,59,6/3/2025,,BAL,L,1,5,9,33,32,1,7,0,0,1,1,0,0,1,8,0.236,0.32,0.395,0.714,10,2,0,0,0,0,0,0.261,5,10,Tomoyuki Sugano,R,67,9
60,60,6/4/2025,,BAL,L,2,3,9,34,29,2,5,1,0,0,2,1,0,3,11,0.236,0.319,0.392,0.711,6,1,1,0,1,0,0,0.263,5,13,Cade Povich,L,56,10
61,61,6/5/2025,,BAL,L,3,4,9,36,36,3,9,2,0,1,3,1,0,0,12,0.236,0.318,0.392,0.709,14,0,0,0,0,0,0,0.348,6,10,Zach Eflin,R,51,15
62,62,6/6/2025,@,LAA,L,4,5,9,37,33,4,8,1,1,0,4,3,0,3,5,0.236,0.317,0.391,0.708,11,1,0,0,1,0,1,0.276,6,11,Kyle Hendricks,R,40,17
63,63,6/7/2025,@,LAA,L,6,8,9,42,38,6,14,2,0,2,6,3,0,3,8,0.238,0.319,0.394,0.713,22,0,0,1,0,0,0,0.429,9,12,Jack Kochanowicz,R,29,28
64,64,6/8/2025,@,LAA,W,3,2,9,41,39,3,11,3,0,0,3,1,0,1,11,0.239,0.319,0.394,0.713,14,0,1,0,0,1,0,0.393,11,11,Tyler Anderson,L,41,17
65,65,6/9/2025,@,ARI,L,4,8,11,45,42,4,12,1,0,1,4,0,0,3,12,0.24,0.319,0.393,0.713,16,1,0,0,0,0,0,0.379,10,12,Merrill Kelly,R,69,18
66,66,6/10/2025,@,ARI,L,3,10,9,42,37,3,12,1,0,2,3,2,0,5,7,0.241,0.321,0.395,0.716,19,2,0,0,0,0,0,0.357,12,9,Brandon Pfaadt,R,44,24
67,67,6/11/2025,@,ARI,L,2,5,9,35,33,2,8,3,0,1,2,0,1,2,7,0.241,0.32,0.396,0.716,14,1,0,0,0,0,0,0.28,6,11,Eduardo Rodríguez,L,57,14
68,68,6/13/2025,,CLE,W,7,2,9,44,40,7,16,6,0,2,7,1,0,4,3,0.244,0.322,0.401,0.723,28,0,0,0,0,0,0,0.4,13,9,Gavin Williams,R,40,33
69,69,6/14/2025,,CLE,W,4,3,9,40,30,4,7,1,0,0,3,3,1,6,8,0.244,0.323,0.399,0.723,8,0,2,1,1,0,2,0.304,10,11,Tanner Bibee,R,51,20
70,70,6/15/2025,,CLE,W,6,0,9,36,29,6,5,1,0,1,6,2,0,5,6,0.243,0.323,0.398,0.722,9,0,2,0,0,0,0,0.182,6,9,Luis Ortiz,R,38,18
71,71,6/16/2025,,BOS,L,0,2,9,34,30,0,4,0,0,0,0,1,0,4,15,0.242,0.322,0.395,0.717,4,1,0,0,0,0,0,0.267,7,11,Lucas Giolito,R,75,8
72,72,6/17/2025,,BOS,W,8,0,9,38,31,8,9,3,0,1,8,3,0,6,6,0.242,0.323,0.396,0.719,15,0,0,0,1,0,0,0.32,6,11,Walker Buehler,R,10,24
73,73,6/18/2025,,BOS,L,1,3,9,33,32,1,6,2,0,0,0,0,0,1,10,0.242,0.322,0.394,0.716,8,1,0,0,0,0,0,0.273,5,10,Garrett Crochet,L,64,8
74,74,6/20/2025,@,CHC,W,9,4,9,43,40,9,13,4,0,4,9,1,0,3,11,0.243,0.323,0.399,0.722,29,0,0,0,0,0,0,0.36,7,10,Matthew Boyd,L,59,33
75,75,6/21/2025,@,CHC,L,7,10,9,43,38,7,14,3,0,1,6,0,0,2,8,0.245,0.324,0.401,0.725,20,2,2,0,1,1,0,0.433,9,10,Cade Horton,R,32,22
76,76,6/22/2025,@,CHC,W,14,6,9,47,43,14,18,1,0,5,14,1,1,4,3,0.248,0.327,0.408,0.734,34,1,0,0,0,1,0,0.371,6,10,Colin Rea,R,19,37
77,77,6/23/2025,@,MIN,W,11,2,9,40,38,11,12,1,0,4,11,0,0,0,10,0.249,0.327,0.411,0.738,25,0,1,0,1,0,0,0.32,2,10,Bailey Ober,R,42,26
78,78,6/24/2025,@,MIN,W,6,5,9,40,32,6,7,1,0,0,6,0,0,2,8,0.248,0.326,0.409,0.736,8,0,3,1,2,0,1,0.269,7,11,Chris Paddack,R,42,14
79,79,6/25/2025,@,MIN,L,0,2,9,32,30,0,3,0,0,0,0,1,1,1,11,0.247,0.324,0.406,0.73,3,1,1,0,0,2,0,0.158,5,10,Joe Ryan,R,74,4
80,80,6/26/2025,@,MIN,L,1,10,9,35,33,1,6,2,0,0,1,0,0,2,9,0.246,0.323,0.404,0.727,8,0,0,0,0,0,0,0.25,7,14,Simeon Woods Richardson,R,68,10
81,81,6/27/2025,@,TEX,W,7,6,12,54,47,7,16,3,0,0,6,0,0,5,6,0.247,0.325,0.404,0.729,19,5,1,0,1,1,2,0.381,14,12,Nathan Eovaldi,R,37,22
82,82,6/28/2025,@,TEX,L,2,3,10,37,34,2,6,0,0,1,2,1,0,1,9,0.247,0.324,0.402,0.726,9,2,2,0,0,0,0,0.208,6,11,Kumar Rocker,R,61,11
83,83,6/29/2025,@,TEX,W,6,4,12,54,47,6,13,1,0,1,6,0,0,5,12,0.247,0.324,0.402,0.726,17,0,0,2,0,1,4,0.353,15,10,Jack Leiter,R,61,26
