Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Metric
1,1,3/27/2025,@,CIN,W,6,4,9,35,33,6,6,0,0,2,6,0,0,2,17,0.182,0.229,0.364,0.592,12,0,0,0,0,0,0,0.286,2,9,Hunter Greene,R,60,14
2,2,3/29/2025,@,CIN,L,2,3,9,33,32,2,8,2,0,1,2,1,0,0,1,0.215,0.25,0.385,0.635,13,3,1,0,0,0,0,0.233,4,10,Nick Lodolo,L,55,12
3,3,3/30/2025,@,CIN,W,6,3,9,37,33,6,7,2,0,2,6,1,0,2,7,0.214,0.25,0.408,0.658,15,0,0,1,1,1,0,0.2,4,11,Nick Martinez,R,52,18
4,4,3/31/2025,@,HOU,W,7,2,9,41,35,7,9,2,0,1,7,3,0,5,10,0.226,0.276,0.406,0.682,14,0,0,0,1,0,0,0.32,7,9,Ronel Blanco,R,52,22
5,5,4/1/2025,@,HOU,W,3,1,9,37,32,3,4,2,0,1,3,0,0,4,13,0.206,0.269,0.382,0.651,9,0,1,0,0,1,0,0.167,7,10,Hayden Wesneski,R,54,14
6,6,4/2/2025,@,HOU,W,6,3,9,38,33,6,6,1,0,3,6,1,0,5,16,0.202,0.273,0.399,0.672,16,0,0,0,0,0,0,0.214,5,11,Framber Valdez,L,44,22
7,7,4/4/2025,,SEA,W,10,9,11,56,49,10,17,5,1,1,10,4,0,6,12,0.231,0.302,0.429,0.731,27,0,0,1,0,0,2,0.444,16,12,Luis Castillo,R,35,39
8,8,4/5/2025,,SEA,W,4,1,9,35,31,4,10,4,0,0,4,1,1,4,5,0.241,0.313,0.432,0.745,14,1,0,0,0,0,0,0.385,7,10,Bryce Miller,R,39,17
9,9,4/6/2025,,SEA,W,5,4,9,36,33,5,7,1,0,1,5,1,0,3,9,0.238,0.309,0.421,0.73,11,0,0,0,0,0,0,0.261,5,10,Bryan Woo,R,51,15
10,10,4/7/2025,,CIN,L,0,2,9,32,31,0,4,1,0,0,0,1,0,1,7,0.228,0.296,0.398,0.694,5,1,0,0,0,0,0,0.167,5,9,Hunter Greene,R,82,6
11,11,4/8/2025,,CIN,L,0,1,9,32,30,0,4,1,0,0,0,0,0,1,5,0.22,0.286,0.379,0.665,5,1,0,1,0,1,0,0.16,5,12,Nick Lodolo,L,68,5
12,12,4/9/2025,,CIN,W,8,6,10,42,41,8,12,4,2,2,7,0,0,1,8,0.228,0.288,0.404,0.693,26,0,0,0,0,1,0,0.323,7,10,Nick Martinez,R,46,27
13,13,4/11/2025,@,NYY,W,9,1,5,33,22,9,6,3,0,1,8,1,0,11,7,0.23,0.304,0.411,0.715,12,0,0,0,0,0,0,0.357,7,9,Marcus Stroman,R,22,24
14,14,4/12/2025,@,NYY,L,4,8,9,41,34,4,6,3,0,1,4,0,0,6,12,0.226,0.305,0.407,0.712,12,0,1,0,0,0,0,0.238,10,9,Will Warren,R,59,19
15,15,4/13/2025,@,NYY,W,5,4,9,37,32,5,4,1,0,2,4,0,0,5,14,0.22,0.301,0.403,0.704,11,0,0,0,0,1,0,0.125,5,10,Carlos Rodón,L,52,16
16,16,4/14/2025,@,PHI,W,10,4,9,41,39,10,12,3,1,3,9,0,0,2,11,0.226,0.303,0.422,0.726,26,0,0,0,0,0,0,0.36,4,9,Taijuan Walker,R,39,28
17,17,4/15/2025,@,PHI,L,4,6,9,36,34,4,8,2,0,0,4,2,0,2,8,0.226,0.302,0.415,0.717,10,1,0,0,0,0,0,0.308,5,10,Jesús Luzardo,L,48,13
18,18,4/16/2025,@,PHI,W,11,4,9,48,38,11,13,4,0,0,10,0,1,9,10,0.234,0.313,0.417,0.73,17,0,0,0,1,0,0,0.448,10,10,Aaron Nola,R,28,25
19,19,4/17/2025,@,PHI,L,4,6,9,36,34,4,6,1,0,2,4,0,0,1,14,0.231,0.308,0.415,0.723,13,1,1,0,0,2,0,0.222,5,11,Cristopher Sánchez,L,70,14
20,20,4/18/2025,@,LAA,L,0,2,9,34,31,0,4,0,0,0,0,0,0,3,8,0.226,0.304,0.402,0.706,4,0,0,0,0,0,0,0.174,7,9,Tyler Anderson,L,70,7
21,21,4/19/2025,@,LAA,W,3,2,9,34,31,3,5,1,0,1,3,1,0,3,3,0.223,0.301,0.397,0.698,9,0,0,0,0,0,0,0.148,4,9,Kyle Hendricks,R,46,13
22,22,4/20/2025,@,LAA,L,4,5,9,42,34,4,8,1,0,1,4,1,1,8,9,0.224,0.305,0.395,0.7,12,0,0,0,0,0,0,0.292,11,9,Yusei Kikuchi,L,58,20
23,23,4/21/2025,,MIL,W,5,2,9,35,29,5,8,0,1,1,4,0,2,5,6,0.226,0.308,0.397,0.704,13,0,0,0,1,0,0,0.304,6,9,Quinn Priester,R,45,16
24,24,4/22/2025,,MIL,L,3,11,9,39,33,3,11,2,0,0,3,0,0,4,4,0.23,0.312,0.397,0.709,13,3,1,0,1,0,0,0.367,9,12,Jose Quintana,L,57,15
25,25,4/23/2025,,MIL,W,4,2,9,35,32,4,8,0,0,0,3,0,1,3,7,0.231,0.312,0.391,0.703,8,0,0,0,0,0,0,0.32,7,9,Freddy Peralta,R,46,10
26,26,4/24/2025,,MIL,W,6,5,9,40,32,6,7,1,0,2,6,0,0,7,4,0.23,0.314,0.393,0.707,14,0,0,0,1,1,0,0.185,10,12,Tobias Myers,R,44,21
27,27,4/25/2025,,TEX,L,0,2,9,32,31,0,4,0,0,0,0,0,0,1,13,0.227,0.309,0.384,0.692,4,0,0,0,0,0,0,0.222,5,9,Nathan Eovaldi,R,72,5
28,28,4/26/2025,,TEX,W,3,2,9,36,32,3,11,1,0,0,3,1,0,3,4,0.231,0.312,0.383,0.695,12,2,0,1,0,0,0,0.393,8,10,Tyler Mahle,R,43,14
29,29,4/27/2025,,TEX,W,3,2,9,33,28,3,5,0,0,0,2,1,0,4,4,0.229,0.311,0.377,0.689,5,0,1,0,0,0,0,0.208,6,9,Jack Leiter,R,47,11
30,30,4/29/2025,@,SDP,L,4,7,9,35,34,4,7,2,0,1,4,0,0,1,14,0.229,0.309,0.377,0.686,12,0,0,0,0,0,0,0.316,4,9,Nick Pivetta,R,54,13
31,31,4/30/2025,@,SDP,L,3,5,9,35,31,3,5,0,0,2,3,1,1,3,12,0.227,0.307,0.376,0.683,11,0,1,0,0,0,0,0.176,5,9,Michael King,R,64,15
32,32,5/1/2025,,COL,L,3,4,9,36,34,3,9,2,0,1,3,0,1,2,5,0.228,0.307,0.377,0.684,14,1,0,0,0,0,0,0.286,6,12,Kyle Freeland,L,49,14
33,33,5/2/2025,,COL,W,4,0,9,32,29,4,7,2,0,1,3,0,0,2,5,0.228,0.307,0.378,0.685,12,1,0,0,1,0,0,0.25,4,9,Antonio Senzatela,R,39,13
34,34,5/3/2025,,COL,W,6,3,9,33,27,6,5,1,0,2,6,0,0,6,7,0.227,0.307,0.38,0.687,12,1,0,0,0,0,0,0.167,3,9,Bradley Blalock,R,54,17
