,,,,,Score,,,,Batting Stats,,,,,,,,,,,,,,,,,,,,,,,,,,Opp Starter,,
Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc
1,1,3/28/2025,,COL,W,3,2,9,32,30,3,7,1,0,1,3,0,0,1,9,0.233,0.25,0.367,0.617,11,0,0,0,1,1,0,0.286,5,12,Kyle Freeland,L,75
2,2,3/29/2025,,COL,L,1,2,9,40,35,1,12,2,0,0,1,1,0,5,3,0.292,0.347,0.385,0.732,14,2,0,0,0,0,0,0.375,12,10,Antonio Senzatela,R,43
3,3,3/30/2025,,COL,W,6,4,9,37,33,6,9,2,0,1,5,3,1,3,7,0.286,0.349,0.398,0.747,14,0,1,0,0,0,0,0.32,7,11,Ryan Feltner,R,55
4,4,3/31/2025,,PIT,W,6,1,9,38,32,6,10,4,0,0,6,2,0,5,10,0.292,0.361,0.408,0.768,14,1,0,0,1,0,0,0.435,8,11,Carmen Mlodzinski,R,33
5,5,4/1/2025,,PIT,W,7,0,9,39,32,7,10,1,1,1,7,1,0,6,4,0.296,0.371,0.426,0.797,16,1,0,0,1,0,0,0.321,8,9,Tom Harrington,R,22
6,6,4/2/2025,,PIT,L,2,4,9,33,31,2,4,0,0,0,2,1,0,2,8,0.269,0.342,0.378,0.721,4,0,0,0,0,0,0,0.174,4,11,Paul Skenes,R,75
7,7,4/4/2025,@,TEX,L,2,5,9,34,32,2,6,1,0,0,0,0,0,2,11,0.258,0.328,0.356,0.684,7,1,0,0,0,0,0,0.286,5,9,Tyler Mahle,R,68
8,8,4/5/2025,@,TEX,L,4,6,9,36,36,4,10,3,0,2,4,1,0,0,5,0.261,0.322,0.379,0.701,19,0,0,0,0,0,0,0.276,5,11,Jacob deGrom,R,40
9,9,4/6/2025,@,TEX,L,3,4,9,35,32,3,7,1,0,0,3,3,0,2,6,0.256,0.315,0.365,0.68,8,1,0,0,1,0,0,0.259,5,11,Kumar Rocker,R,52
10,10,4/8/2025,,LAA,L,3,4,9,39,34,3,9,2,2,1,3,3,1,4,11,0.257,0.32,0.382,0.702,18,1,1,0,0,0,0,0.364,9,12,Kyle Hendricks,R,65
11,11,4/9/2025,,LAA,W,5,4,9,32,29,5,7,1,0,2,5,0,0,3,7,0.256,0.319,0.39,0.709,14,1,0,0,0,0,0,0.25,3,10,Yusei Kikuchi,L,46
12,12,4/10/2025,,LAA,L,1,11,9,32,29,1,6,1,0,0,1,0,0,3,5,0.252,0.316,0.379,0.695,7,4,0,0,0,0,0,0.25,4,10,José Soriano,R,66
