Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Metric
1,1,3/27/2025,,BOS,L,2,5,9,35,33,2,7,1,0,0,2,0,0,2,7,0.212,0.257,0.242,0.5,8,1,0,0,0,0,0,0.269,6,10,Garrett Crochet,L,51,9
2,2,3/28/2025,,BOS,W,4,1,9,32,29,4,8,1,0,2,4,2,0,3,3,0.242,0.299,0.371,0.669,15,2,0,0,0,0,0,0.25,4,11,Tanner Houck,R,38,18
3,3,3/29/2025,,BOS,W,4,3,9,34,30,4,8,2,0,1,4,1,0,1,5,0.25,0.31,0.391,0.701,13,1,2,0,0,0,0,0.292,6,10,Walker Buehler,R,36,16
4,4,3/30/2025,,BOS,W,3,2,9,30,29,3,6,0,0,2,3,0,0,0,5,0.24,0.285,0.397,0.681,12,0,0,0,1,0,0,0.174,3,9,Richard Fitts,R,52,12
5,5,3/31/2025,@,CIN,L,3,14,9,36,32,3,5,2,0,1,3,0,0,4,9,0.222,0.277,0.379,0.656,10,0,0,0,0,0,0,0.182,6,12,Brady Singer,R,81,14
6,6,4/1/2025,@,CIN,W,1,0,9,36,31,1,4,1,0,1,1,1,0,4,6,0.207,0.272,0.359,0.631,8,0,1,0,0,1,0,0.125,8,9,Carson Spiers,R,65,14
7,7,4/2/2025,@,CIN,W,1,0,9,32,30,1,3,1,0,0,1,0,0,2,9,0.192,0.256,0.327,0.584,4,0,0,0,0,0,0,0.143,4,9,Hunter Greene,R,74,6
8,8,4/4/2025,,TBR,W,5,2,9,31,27,5,6,1,0,1,5,3,0,2,4,0.195,0.26,0.332,0.592,10,2,1,0,1,0,0,0.217,2,9,Zack Littell,R,46,14
9,9,4/5/2025,,TBR,W,6,4,9,35,28,6,4,0,0,3,6,3,0,6,12,0.19,0.267,0.346,0.612,13,0,1,0,0,0,1,0.077,5,11,Taj Bradley,R,50,24
10,10,4/6/2025,,TBR,W,4,3,9,35,33,4,7,1,0,1,4,4,0,2,10,0.192,0.266,0.344,0.61,11,1,0,0,0,1,0,0.273,5,9,Drew Rasmussen,R,60,16
