Rk,Gtm,Date,,Opp,Rslt,RS,RA,Inn,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,ROE,IBB,BAbip,LOB,#,Player,T,GmSc,Metric
1,1,3/27/2025,,BAL,L,2,12,9,33,28,2,4,0,0,1,2,0,0,5,3,0.143,0.273,0.25,0.523,7,2,0,0,0,0,0,0.125,4,9,Zach Eflin,R,61,10
2,2,3/28/2025,,BAL,W,8,2,9,40,34,8,14,3,0,0,6,1,1,3,9,0.29,0.37,0.387,0.757,17,0,1,0,2,0,0,0.519,8,11,Charlie Morton,R,32,21
3,3,3/29/2025,,BAL,L,5,9,9,40,34,5,8,3,0,1,5,0,0,5,14,0.271,0.354,0.396,0.75,14,0,0,0,1,0,0,0.35,8,11,Dean Kremer,R,42,19
4,4,3/30/2025,,BAL,W,3,1,9,34,32,3,7,2,0,1,3,0,0,2,6,0.258,0.333,0.391,0.724,12,0,0,0,0,1,0,0.24,7,10,Tomoyuki Sugano,R,45,14
5,5,3/31/2025,,WSN,W,5,2,9,36,32,5,10,5,0,1,5,1,1,3,3,0.269,0.344,0.425,0.769,18,0,1,0,0,0,0,0.321,7,12,Michael Soroka,R,43,22
6,6,4/1/2025,,WSN,W,5,3,9,38,33,5,12,0,0,0,5,0,0,2,7,0.285,0.356,0.415,0.771,12,2,1,2,0,0,0,0.462,9,11,Trevor Williams,R,38,13
7,7,4/2/2025,,WSN,W,4,2,9,37,33,4,10,4,0,1,3,0,0,2,6,0.288,0.355,0.429,0.785,17,0,1,0,1,0,0,0.333,9,10,MacKenzie Gore,L,40,20
8,8,4/4/2025,@,NYM,L,0,5,9,34,31,0,4,0,1,0,0,0,0,3,10,0.268,0.338,0.401,0.739,6,0,0,0,0,0,0,0.19,7,10,Tylor Megill,R,65,9
9,9,4/5/2025,@,NYM,L,2,3,9,40,36,2,10,2,0,0,2,0,0,4,11,0.27,0.339,0.392,0.732,12,1,0,0,0,0,0,0.4,11,11,Griffin Canning,R,53,15
10,10,4/6/2025,@,NYM,L,1,2,9,38,30,1,4,1,0,0,1,1,0,5,8,0.257,0.337,0.372,0.708,5,1,3,0,0,0,0,0.182,10,12,David Peterson,L,52,13
11,11,4/7/2025,@,BOS,W,6,2,9,44,37,6,13,1,0,0,6,2,0,5,5,0.267,0.346,0.372,0.718,14,1,0,0,1,1,0,0.394,11,11,Richard Fitts,R,48,20
12,12,4/8/2025,@,BOS,W,6,1,9,43,37,6,9,0,0,1,5,0,0,5,8,0.264,0.346,0.368,0.714,12,0,1,0,0,1,0,0.286,10,10,Garrett Crochet,L,50,18
13,13,4/9/2025,@,BOS,W,2,1,11,38,35,2,6,0,0,0,2,0,0,2,4,0.257,0.335,0.352,0.687,6,1,0,0,1,0,0,0.188,5,12,Tanner Houck,R,60,7
14,14,4/10/2025,@,BOS,L,3,4,10,41,36,3,8,1,0,0,3,1,0,3,11,0.254,0.332,0.344,0.676,9,1,1,0,1,0,1,0.308,9,12,Walker Buehler,R,67,14
15,15,4/12/2025,@,BAL,L,4,5,9,37,32,4,10,3,0,1,3,2,0,5,3,0.258,0.337,0.354,0.691,16,4,0,0,0,0,0,0.321,6,10,Tomoyuki Sugano,R,34,19
16,16,4/13/2025,@,BAL,W,7,6,10,46,43,7,16,4,0,1,7,2,1,2,5,0.267,0.341,0.368,0.71,23,1,0,1,0,0,0,0.405,10,13,Cade Povich,L,43,25
17,17,4/14/2025,,ATL,L,4,8,9,33,31,4,5,2,0,1,4,0,0,2,6,0.261,0.335,0.366,0.701,10,1,0,0,0,0,0,0.167,2,9,Grant Holmes,R,65,11
18,18,4/15/2025,,ATL,W,6,3,9,34,31,6,6,2,0,2,6,0,0,3,5,0.258,0.331,0.37,0.702,14,0,0,0,0,0,0,0.167,4,10,Spencer Schwellenbach,R,29,17
19,19,4/16/2025,,ATL,W,3,1,9,33,28,3,6,3,0,1,3,2,1,4,7,0.256,0.331,0.373,0.704,12,1,1,0,0,0,0,0.25,6,10,Spencer Strider,R,53,17
20,20,4/18/2025,,SEA,W,3,1,9,33,29,3,7,1,0,0,3,1,0,2,4,0.255,0.329,0.369,0.697,8,0,0,0,2,0,0,0.259,6,11,Bryan Woo,R,53,11
21,21,4/19/2025,,SEA,L,4,8,12,51,44,4,12,2,0,0,4,2,1,4,12,0.256,0.33,0.365,0.695,14,1,1,2,0,0,1,0.375,14,11,Logan Gilbert,R,49,20
22,22,4/20/2025,,SEA,L,3,8,9,42,36,3,11,4,0,0,3,0,0,4,7,0.259,0.333,0.368,0.7,15,1,1,0,1,0,0,0.367,12,11,Luis Castillo,R,38,19
23,23,4/21/2025,@,HOU,L,0,7,9,30,29,0,2,0,0,0,0,2,0,1,11,0.252,0.325,0.357,0.681,2,1,0,0,0,0,0,0.111,3,10,Hunter Brown,R,81,4
24,24,4/22/2025,@,HOU,L,1,5,9,31,29,1,2,0,0,1,1,0,0,2,7,0.245,0.318,0.35,0.668,5,0,0,0,0,0,0,0.048,3,9,Ronel Blanco,R,67,7
25,25,4/23/2025,@,HOU,L,1,3,9,34,32,1,5,2,0,0,1,1,0,2,9,0.242,0.314,0.345,0.659,7,0,0,0,0,0,0,0.217,6,11,Ryan Gusto,R,64,10
26,26,4/25/2025,@,NYY,W,4,2,9,37,34,4,9,2,0,1,4,0,0,2,2,0.242,0.314,0.348,0.662,14,2,1,0,0,0,0,0.258,6,11,Carlos Carrasco,R,61,15
27,27,2025-04-27 (1),@,NYY,L,2,11,9,40,37,2,10,3,0,0,2,0,1,3,5,0.244,0.315,0.348,0.662,13,0,0,0,0,1,0,0.313,11,12,Max Fried,L,61,15
